row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Region:,,,,,,,1
1. Boston,36,28,23,2,2,27,10
2. New York,112,ao,55,3,12,70,32
3. Buffalo,26,16,13,2,2,17,4
4. Philadelphia,6,4,15,,10,25,4
5. Baltimore,100,50,39,9,16,64,27
6. Pittsburgh,15,7,8,,2,10,7
7. Detroit,19,18,15,,1,16,7
8. Cleveland,17,13,16,,2,18,11
9. Cincinnati,18,9,7,2,11,20,8
10. Atlanta,48,25,20,,5,2.5,11
11. Indianapolis,35,24,17,3,13,33,6
12. Milwaukee,25,19,14,4,2,20,5
13. Chicago,44,27,24,1,4,29,8
14 St Louis,20,10,8,2,4,14,3
15. New Orleans,18,9,6,1,s,15,7
16. Fort Worth_,36,17,15,,5,20,7
17 R-Anses City,22,11,9,,2,11,3
18. Minneapolis,11,8,8,,1,9,6
19. Seattle,2.5,4,3,,14,17,s
20. San Francisco,17,13,15,1,1,17,6
21. Los Angeles_,37,16,13,1,4,18,4
22. Denver,33,23,21,,,21,2
Total,723,418,364,31,121,516,187
