row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections................................,2832,136,4.8,27,1.0,8,0.3,144,5.1,35,1.2
By type of cases:,,,,,,,,,,,
In RC cases...................................................,2362,116,4.9,25,1.1,6,0.3,122,5.2,31,1.3
In RMcases..................................................,39,1,2.6,0,0.0,1,2.6,2,5.1,1,2.6
In RD cases...................................................,431,19,4.4,2,0.5,1,0.2,20,4.6,3,0.7
By type of election:,,,,,,,,,,,
Consent elections..........................................,60,1,1.7,0,0.0,0,0.0,1,1.7,0,0.0
Stipulated elections.......................................,2330,33,1.4,14,0.6,5,0.2,38,1.6,19,0.8
Expedited elections.......................................,1,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0
Regional Director-directed elections............,441,101,22.9,13,2.9,3,0.7,104,23.6,16,3.6
Board-directed elections...............................,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
