row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Total number of cases closed,33287,100 0,,25928,100 0,6449,100 0,529,100 0,183,100 0,26,100 0,32,100 0,140,100 0
Agreement of the parties,10959,329,100 0,9581,369,1076,166,236,446,5,27,5,192,13,406,43,307
Informal settlement,10904,32 8,995,9542,36 n,1063,"16,4",234,442,5,27,5,192,13,406,42,300
Before issuance of complaint,7935,238,724,6823,263,869,134,196,370,(2),,4,l53,10,312,33,235
"After issuance of complaint, before opening of hearing",2852,86,260,2607,100,193,29,36,68,5,2 7,1,3 8,3,93,7,5 0
"After hearing opened, before issuance of admimstrative lawiudge's &mown",117,04,II,112,04,1,00,2,03,0,,0,,0,,2,14
Formal settlement,55,02,05,39,0 1,13,02,2,03,0,,0,,0,,1,07
Before opening of hearing,42,0 1,04,29,0 1,10,0 1,2,03,0,,(I,,o,,i,07
Stipulated decision,0,,00,0,,0,,0,,0,,0,,0,,0,
Consent decree,42,01,04,29,01,10,01,2,03,0,,o,,o,,i,07
After heanng opened,13,00,01,10,00,3,00,0,,o,,0,,o,,o,
Stipulated decision,0,,00,0,,0,,0,,0,,o,,0,,o,
Consent dee=,13,00,01,10,00,3,00,0,,0,,0,,0,,0,
Compliance viidi .,' 665,20,1000,612,2 3,38,05,10,1 8,0,,0,,1,3 1,4,28
Administrative law judge's decision,18,0 1,27,18,00,0,,0,,0,,0,,0,,0,
Board decision,360,II,541,319,12,31,04,7,13,0,,0,,0,,3,2 1
Adopting administrative law judge's decision (no exceptions filed),181,0 5,272,168,06,13,02,0,,0,,0,,0,,0,
Contested p,179,05,269,151,05,18,02,7,13,0,,0,,0,,"3 ,",21
