row_label,All R elections / Elections conducted / Total elections,All R elections / Elections conducted / Withdrawn or dismissed before certification,All R elections / Elections conducted / Resulting in a rerun or runoff,All R elections / Elections conducted / Resulting in certification,RC elections / Elections conducted / Total elections,RC elections / Elections conducted / Withdrawn or dismissed before certification,RC elections / Elections conducted / Resulting in a rerun or runoff,RC elections / Elections conducted / Resulting in certification,RM elections / Elections conducted / Total elections,RM elections / Elections conducted / Withdrawn or dismissed before certification,RM elections / Elections conducted / Resulting in a rerun or runoff,RM elections / Elections conducted / Resulting in certification,RD elections / Elections conducted / Total elections,RD elections / Elections conducted / Withdrawn or dismissed before certification,RD elections / Elections conducted / Resulting in a rerun or runoff,RD elections / Elections conducted / Resulting in certification
All representation elections,2745,61,72,2612,2298,58,63,2177,51,0,0,51,396,3,9,384
Rerun required,,,66,,,,57,,,,0,,,,9,
Runoff required,,,6,,,,6,,,,0,,,,0,
Consent elections,92,0,1,91,84,0,1,83,1,0,0,1,7,0,0,7
Stipulated elections,2228,39,32,2157,1844,36,26,1782,41,0,0,41,343,3,6,334
Rerun required,,,31,,,,25,,,,0,,,,6,
Runoff required,,,1,,,,1,,,,0,,,,0,
Regional Director-directed,424,22,39,363,370,22,36,312,8,0,0,8,46,0,3,43
Rerun required,,,34,,,,31,,,,0,,,,3,
Runoff required,,,5,,,,5,,,,0,,,,0,
Board-directed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rerun required,,,0,,,,0,,,,0,,,,0,
Runoff required,,,0,,,,0,,,,0,,,,0,
Expedited: Sec. 8(b)(7)(C),1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Rerun required,,,0,,,,0,,,,0,,,,0,
Runoff required,,,0,,,,0,,,,0,,,,0,
