row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
"Arts, Entertainment, and Recreation..................",510,462,260,199,0,2,0,0,1,44,36,2,6,0,0,4
Accommodation......................................................,728,671,516,153,2,0,0,0,0,54,36,7,11,1,1,1
Food Services and Drinking Places........................,594,537,418,118,1,0,0,0,0,55,38,2,15,1,0,1
Accommodation and Food Services..................,1322,1208,934,271,3,0,0,0,0,109,74,9,26,2,1,2
Repair and Maintenance..........................................,227,182,133,48,1,0,0,0,0,44,35,1,8,1,0,0
Personal and Laundry Services..............................,242,192,141,51,0,0,0,0,0,35,22,6,7,12,0,3
"Religious, Grantmaking, Civic, Professional, and Similar Organizations..............................................",391,366,255,104,4,2,1,0,0,22,17,0,5,0,0,3
Private Households..................................................,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Services (except Public Administration)..,861,741,530,203,5,2,1,0,0,101,74,7,20,13,0,6
"Executive, Legislative, and Other General Government Support..............................................",28,24,17,7,0,0,0,0,0,4,4,0,0,0,0,0
"Justice, Public Order, and Safety Activities............",125,59,43,16,0,0,0,0,0,62,53,1,8,4,0,0
Administration of Human Resource Programs........,21,19,16,3,0,0,0,0,0,2,1,0,1,0,0,0
Administration of Environmental Quality Programs..................................................................,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Administration of Housing Programs, Urban Planning, and Community Development................",4,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0
Administration of Economic Programs..................,7,6,6,0,0,0,0,0,0,1,0,0,1,0,0,0
Space Research and Technology............................,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
National Security and International Affairs............,34,24,21,3,0,0,0,0,0,9,8,1,0,1,0,0
Public Administration........................................,223,138,108,30,0,0,0,0,0,80,67,2,11,5,0,0
"Total, all industrial groups..................................",25786,22886,16510,5977,206,126,15,19,33,2686,2045,74,567,96,7,111
