row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Total RC and RMelections........,175144,2604,100.0,,1260,100.0,116,100.0,79,100.0,1149,100.0
Under 10............................................................,4667,648,24.9,24.9,409,32.5,29,25.0,13,16.5,197,17.1
10 to 19..............................................................,7610,500,19.2,44.1,256,20.3,16,13.8,20,25.3,208,18.1
20 to 29..............................................................,8622,327,12.6,56.6,161,12.8,13,11.2,13,16.5,140,12.2
30 to 39..............................................................,7539,210,8.1,64.7,102,8.1,10,8.6,5,6.3,93,8.1
40 to 49..............................................................,6678,141,5.4,70.1,60,4.8,6,5.2,4,5.1,71,6.2
50 to 59..............................................................,6405,103,4.0,74.1,38,3.0,5,4.3,5,6.3,55,4.8
60 to 69..............................................................,5396,85,3.3,77.3,28,2.2,6,5.2,1,1.3,50,4.4
70 to 79..............................................................,5792,78,3.0,80.3,32,2.5,6,5.2,1,1.3,39,3.4
80 to 89..............................................................,5900,63,2.4,82.8,16,1.3,6,5.2,1,1.3,40,3.5
90 to 99..............................................................,4807,51,2.0,84.7,23,1.8,1,0.9,0,0.0,27,2.3
100 to 109..........................................................,5028,48,1.8,86.6,18,1.4,3,2.6,0,0.0,27,2.3
110 to 119..........................................................,3174,29,1.1,87.7,5,0.4,0,0.0,1,1.3,23,2.0
120 to 129..........................................................,6474,50,1.9,89.6,25,2.0,1,0.9,1,1.3,23,2.0
130 to 139..........................................................,2486,17,0.7,90.2,3,0.2,1,0.9,0,0.0,13,1.1
140 to 149..........................................................,2885,19,0.7,91.0,9,0.7,1,0.9,1,1.3,8,0.7
150 to 159..........................................................,3842,26,1.0,92.0,7,0.6,0,0.0,2,2.5,17,1.5
160 to 169..........................................................,3479,19,0.7,92.7,5,0.4,2,1.7,1,1.3,11,1.0
170 to 179..........................................................,2844,16,0.6,93.3,8,0.6,0,0.0,0,0.0,8,0.7
180 to 189..........................................................,2834,15,0.6,93.9,4,0.3,1,0.9,0,0.0,10,0.9
190 to 199..........................................................,787,4,0.2,94.0,1,0.1,0,0.0,0,0.0,3,0.3
200 to 299..........................................................,12975,55,2.1,96.2,20,1.6,1,0.9,1,1.3,33,2.9
300 to 399..........................................................,10935,33,1.3,97.4,8,0.6,3,2.6,1,1.3,21,1.8
400 to 499..........................................................,8196,19,0.7,98.2,5,0.4,2,1.7,4,5.1,8,0.7
500 to 599..........................................................,7182,14,0.5,98.7,5,0.4,1,0.9,1,,7,0.6
600 to 799..........................................................,5987,10,0.4,99.1,3,0.2,2,1.7,1,1.3 1.3,4,0.3
800 to 999..........................................................,7093,8,0.3,99.4,3,0.2,0,0.0,0,0.0,5,0.4
"1,000 to 1,999....................................................",15115,13,0.5,99.9,4,0.3,0,0.0,2,2.5,7,0.6
