row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1, 2001....................","*20,123",14526,683,743,4081,90
Received fiscal 2002..........................,23035,16006,705,678,5612,34
On docket fiscal 2002........................,43158,30532,1388,1421,9693,124
Closed fiscal 2002..............................,23230,16112,700,720,5645,53
"Pending September 30, 2002..............",19928,14420,688,701,4048,71
,CB Cases,CB Cases,CB Cases,CB Cases,CB Cases,CB Cases
"Pending October 1, 2001....................",2708,60,4,13,2258,373
Received fiscal 2002..........................,6269,62,8,13,5524,662
On docket fiscal 2002........................,8977,122,12,26,7782,1035
Closed fiscal 2002..............................,6355,84,7,7,5664,593
"Pending September 30, 2002..............",2622,38,5,19,2118,442
,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases
"Pending October 1, 2001....................",224,2,0,0,5,217
Received fiscal 2002..........................,476,11,5,1,44,415
On docket fiscal 2002........................,700,13,5,1,49,632
Closed fiscal 2002..............................,446,9,5,1,39,392
"Pending September 30, 2002..............",254,4,0,0,10,240
,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases
"Pending October 1, 2001....................",61,4,0,0,1,56
Received fiscal 2002..........................,212,27,1,3,14,167
On docket fiscal 2002........................,273,31,1,3,15,223
Closed fiscal 2002..............................,190,20,1,2,13,154
"Pending September 30, 2002..............",83,11,0,1,2,69
,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases
"Pending October 1, 2001....................",22,0,0,0,0,22
Received fiscal 2002..........................,33,3,0,0,6,24
On docket fiscal 2002........................,55,3,0,0,6,46
Closed fiscal 2002..............................,32,1,0,0,5,26
"Pending September 30, 2002..............",23,2,0,0,1,20
,CG Cases,CG Cases,CG Cases,CG Cases,CG Cases,CG Cases
"Pending October 1, 2001....................",16,0,0,0,0,16
Received fiscal 2002..........................,34,0,0,0,5,29
On docket fiscal 2002........................,50,0,0,0,5,45
Closed fiscal 2002..............................,37,0,0,0,2,35
"Pending September 30, 2002..............",13,0,0,0,3,10
,CP Cases,CP Cases,CP Cases,CP Cases,CP Cases,CP Cases
"Pending October 1, 2001....................",26,0,0,0,1,25
Received fiscal 2002..........................,118,6,3,0,8,101
On docket fiscal 2002........................,144,6,3,0,9,126
Closed fiscal 2002..............................,108,4,2,0,7,95
"Pending September 30, 2002..............",36,2,1,0,2,31
