row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
AFL-C10 v Local,7378,2784,2068,,716,116,1934,783,,1151,2544
National v Local,39,38,,17,21,1,0,,0,0,0
Local v Local,735,682,,,682,53,0,,,0,0
2-union elections,12128,6314,4058,837,1419,287,2341,1148,42,1151,3186
AFL-CIO v AFL-C10 v AFL-CIO,112,112,112,,,0,0,0,,,0
AFL-C10 v AFL-C10 v Local,313,307,148,,159,6,0,0,,0,0
AFL-CIO v Local v Local,87,86,3,,83,1,0,0,,0,0
3 (or more)-union elections,512,505,263,0,242,7,0,0,0,0,0
Total RC elections,197344,53502,43435,3134,6933,22381,42045,36802,1360,3883,79416
C. Elections in KMcases,C. Elections in KMcases,C. Elections in KMcases,C. Elections in KMcases,C. Elections in KMcases,C. Elections in KMcases,C. Elections in KMcases,C. Elections in KMcases,C. Elections in KMcases,C. Elections in KMcases,C. Elections in KMcases,C. Elections in KMcases
AFL-CIO,1014,230,230,,,123,222,222,,,439
Other national unions,81,0,,0,,0,26,,26,,55
Other local unions,23,0,,,0,0,8,,,8,15
1-union elections,1118,230,230,0,0,123,256,222,26,8,509
AFL-CIO v AFL-CIO,4,4,4,,,0,0,0,,,0
2-union elections,4,4,4,0,0,0,0,0,0,0,0
AFL-C10 v AFL-C10 v AFL-CIO,10,9,9,,,1,0,0,0,0,0
3 (or more) union elections,10,9,9,0,0,1,0,0,,,0
Total RM elections,1132,243,243,0,0,124,256,' 222,26,8,509
DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases
AFL-CIO,17059,5118,5118,,,2812,3139,3139,,,5990
Other national unions.,226,14,,14,,II,68,,68,,133
Other local unions,1504,230,,,230,98,426,,,426,750
1-union elections,18789,5362,5118,14,230,2921,3633,3139,68,426,6873
