row_label,All C cases / Number,All C cases / Per-cent of total closed,All C cases / Per-cent of total method,CA cases / Number,CA cases / Per-cent of total closed,CA cases / Per-cent of total method,CB cases / Number,CB cases / Per-cent of total closed,CB cases / Per-cent of total method,CC cases / Number,CC cases / Per-cent of total closed,CC cases / Per-cent of total method,CD cases / Number,CD cases / Per-cent of total closed,CD cases / Per-cent of total method,CE cases / Number,CE cases / Per-cent of total closed,CE cases / Per-cent of total method,**CG cases / Number,**CG cases / Per-cent of total closed,**CG cases / Per-cent of total method,CP cases / Number,CP cases / Per-cent of total closed,CP cases / Per-cent of total method
"After issuance of complaint, before opening of hearing",144,0.5,1.7,132,0.6,1.7,11,0.2,1.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.8,
"After hearing opened, before administrative law judge's decision",21,0.1,0.2,20,0.1,0.3,0,0.0,0.0,1,0.2,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,
"After administrative law judge's decision, before Board decision",56,0.2,0.6,51,0.2,0.7,5,0.1,0.7,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,
After Board decision,8,0.0,0.1,7,0.0,0.1,1,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,
Dismissal,9098,31.5,100.0,5768,26.2,100.0,3181,55.1,100.0,96,17.8,100.0,9,5.5,100.0,12,44.4,100.0,2,12.5,100.0,29,23.4,100.0
Before issuance of complaint,8882,30.7,97.6,5590,25.4,96.9,3144,52.4,98.8,96,17.8,100.0,9,5.5,100.0,12,44.4,100.0,2,12.5,100.0,29,22.7,
"After issuance of complaint, before opening of hearing",67,0.2,0.7,58,0.3,1.0,8,0.1,0.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.8,
"After hearing opened, before administrative law judge's decision",3,0.0,0.0,3,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,
By administrative law judge's decision,42,0.1,0.5,20,0.1,0.3,22,0.4,0.7,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,
By Board decision,102,0.4,1.1,95,0.4,1.6,7,0.1,0.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,
Adopting administrative law judge's decision (no exceptions filed),63,0.2,0.7,61,0.3,1.1,2,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,
Contested,39,0.1,0.4,34,0.2,0.5,5,0.1,0.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,
By circuit court of appeals decree,2,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,
By Supreme Court action,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,
10(k) actions (see Table 7A for details of disposition),130,0.4,,0,0.0,,0,0.0,,0,0.0,,130,76.0,,0,0.0,,0,0.0,,0,0.0,
"Otherwise disposed of, with order of administrative law judge and Board not achieved—first went out of business",180,0.6,,177,0.8,,3,0.1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
