Division and State,Number of elections,AFL affiliates won,CIO affiliates won,Unaffiliated unions won,No union won,Employees eligible to vote,Total valid votes cast,Valid votes for AFL affiliates,Valid votes for CIO affiliates,Valid votes for Unaffiliated unions,Valid votes for No union,Employees in units choosing representation
South Atlantic — total,387,138,68,37,144,113912,90465,12997,40989,8374,28040,59209
East South Central — total,243,99,43,17,80,28343,25313,3795,8173,4977,5967,20950
West South Central — total,296,91,74,41,90,37178,34791,4450,14210,8600,7541,31799
Mountain — total,220,103,21,40,56,9374,8152,2807,1692,2024,1630,7697
Pacific — total,684,292,91,126,175,91539,75847,29231,16302,18812,13477,76339
Outlying areas — total,94,59,12,5,18,8124,6428,1790,445,2489,1704,6689
