row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total......................................................",357,343,281,3,59,3
Initial hearing......................................................................,262,255,214,3,38,2
Hearing on objections and/or challenges............................,95,88,67,0,21,1
"Decisions issued, total............................................................",,,,,,
By Regional Director..........................................................,242,237,194,4,39,8
Elections directed..........................................................,211,200,166,2,32,7
Dismissals on record....................................................,31,37,28,2,7,1
By Board............................................................................,35,30,14,4,12,2
Transferred by Regional Directors for initial decision.,2,2,2,0,0,0
Elections directed...................................................,1,1,1,0,0,0
Dismissals on record..............................................,1,1,1,0,0,0
Other.....................................................................,0,0,0,0,0,0
Review of Regional Directors' decisions:,,,,,,
Requests for review received..................................,121,103,75,8,20,0
Withdrawn before request ruled upon....................,11,10,9,0,1,0
"Board action on request ruled upon, total..............",96,80,59,5,16,0
Granted..............................................................,13,12,9,1,2,0
Denied..............................................................,78,63,46,4,13,0
Remanded........................................................,5,5,4,0,1,0
"Withdrawn after request granted, before Board review......................................................................",5,5,2,3,0,0
"Board decision after review, total..........................",33,28,12,4,12,2
Regional Directors' decisions:,,,,,,
Affirmed......................................................,14,12,3,3,6,1
Modified......................................................,1,1,1,0,0,0
Reversed......................................................,18,15,8,1,6,1
Outcome:,,,,,,
Election directed........................................,25,21,12,1,8,2
Dismissals on record...................................,7,6,0,2,4,0
Other..........................................................,1,1,0,1,0,0
"Decisions on Objections and/or Challenges, total..................",,,,,,
By Regional Directors........................................................,175,160,134,1,25,6
By Administrative Law Judges.........................................,24,22,21,0,1,0
By Board............................................................................,178,169,142,0,27,6
In stipulated elections..................................................,143,140,115,0,25,3
No Exceptions to Regional Directors' reports......,87,87,67,0,20,2
Exceptions to Regional Directors' reports..............,56,53,48,0,5,1
In directed elections ( after transfer by Regional,,,,,,
Director)........................................................................,24,20,18,0,2,3
No exceptions to RDs/HOs Reports,18,15,14,0,1,2
Exceptions to RDs/HOs Reports,6,5,4,0,1,1
Review of Regional Directors' supplemental decisions:,,,,,,
Request for review received..................................,28,24,21,0,3,0
Withdrawn before request ruled upon....................,0,0,0,0,0,0
"Board action on request ruled upon, total..............",24,20,18,1,1,0
Granted..............................................................,5,5,4,1,0,0
