row_label,Objections filed,Objections withdrawn,Objections ruled upon,Overruled / Number,Overruled / Percent of total ruled upon,Sustained / Number,Sustained / Percent of total ruled upon
All representation elections,263,86,177,142,80.2,35,19.8
By type of case,,,,,,,
RC cases,225,76,149,120,80.5,29,19.5
RM cases,2,1,1,1,100.0,0,
RD cases,36,9,27,21,77.8,6,22.2
By type of election,,,,,,,
Consent elections,0,0,0,0,,0,
Stipulated elections,206,70,136,107,78.7,29,21.3
Expedited elections,1,1,0,0,,0,
Regional Director-directed elections,56,15,41,35,85.4,6,14.6
Board-directed elections,0,0,0,0,,0,
