row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total",2790,2530,2296,73,162,15
Initial hearings Hearings on objections and/or challenges,"2,524 266","2,267 263","2,041 254",70 3,166 6,5 10
"Decisions issued, total",2458,2282,2059,75,148,5
By regional directors,2318,2160,1946,69,145,5
Elections directed Dismissals on record,"2,007 311","1,872 288","1,690 256",61 8,121 24,4 1
By Board,140,122,113,6,8,0
After transfer by regional directors for initial decision,106,88,79,6,3,0
Elections directed Dismissals on record,67 39,54 34,40 29,2 4,2 1,0 0
After review of regional directors' decisions,34,34,34,0,0,0
Elections directed Dismissals on record,26 8,26 8,26 8,0 0,0 0,0 0
"Decisions on objections and/or challenges, total",1253,1282,1136,62,44,11
By regional directors,364,857,328,12,17,9
By Board,889,875,808,40,27,2
In stipulated elections,851,838,777,37,24,2
No exceptions to regional directors' reports,551,539,500,22,17,2
Exceptions to regional directors' reports,300,299,277,15,7,0
In directed elections (after transfer by regional directors) In,16,16,14,1,1,0
directed elections after review of regional directors' supplemental decisions,22,21,17,2,2,0
