Circuit courts of appeals (headquarters),Total fiscal year 1975,Total fiscal years 1970-74,Affirmed in full / Fiscal year 1975 / Number,Affirmed in full / Fiscal year 1975 / Percent,Affirmed in full / Cumulative fiscal years 1970-74 / Number,Affirmed in full / Cumulative fiscal years 1970-74 / Percent,Modified / Fiscal year 1975 / Number,Modified / Fiscal year 1975 / Percent,Modified / Cumulative fiscal years 1970-74 / Number,Modified / Cumulative fiscal years 1970-74 / Percent,Remanded in full / Fiscal year 1975 / Number,Remanded in full / Fiscal year 1975 / Percent,Remanded in full / Cumulative fiscal years 1970-74 / Number,Remanded in full / Cumulative fiscal years 1970-74 / Percent,Affirmed in part and remanded in part / Fiscal year 1975 / Number,Affirmed in part and remanded in part / Fiscal year 1975 / Percent,Affirmed in part and remanded in part / Cumulative fiscal years 1970-74 / Number,Affirmed in part and remanded in part / Cumulative fiscal years 1970-74 / Percent,Set aside / Fiscal year 1975 / Number,Set aside / Fiscal year 1975 / Percent,Set aside / Cumulative fiscal years 1970-74 / Number,Set aside / Cumulative fiscal years 1970-74 / Percent
Total all circuits,261,1682,189,72.4,1215,72.2,21,8.0,180,10.7,3,1.1,80,4.8,11,4.2,28,1.7,32,12.3,179,10.6
"Boston, Mass.",,,,,,,,,,,,,,,,,,,,,,
"New York, N.Y.",,,,,,,,,,,,,,,,,,,,,,
"Philadelphia, Pa.",,,,,,,,,,,,,,,,,,,,,,
"Richmond, Va.",,,,,,,,,,,,,,,,,,,,,,
"New Orleans, La.",,,,,,,,,,,,,,,,,,,,,,
"Cincinnati, Ohio",,,,,,,,,,,,,,,,,,,,,,
"Chicago, Ill.",,,,,,,,,,,,,,,,,,,,,,
"St. Louis, Mo.",,,,,,,,,,,,,,,,,,,,,,
"San Francisco, Calif.",,,,,,,,,,,,,,,,,,,,,,
"Denver, Colo.",,,,,,,,,,,,,,,,,,,,,,
"Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,
