row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total",1563,1516,1213,94,209,4
Initial heanngs,1312,1265,987,90,188,4
Heanngs on objections and/or challenges,251,251,226,4,21,0
"Decisions Issued, total",1332,1258,994,85,179,25
By Regional Directors,1228,1178,927,80,171,25
Elections directed,1075,1031,822,62,147,25
Dismissals on record,153,147,105,18,24,0
By Board,104,80,67,5,8,0
Transferred by Regional Directors for initial decision,30,20,18,0,2,0
Elections directed,16,11,10,0,,
Dismissals on record,14,9,8,0,,0
Review of Regional Directors' decisions,,,,,,
Requests for review received,652,630,564,22,44,0
Withdrawn before request ruled upon,2,2,1,0,1,0
"Board action on request ruled upon, total",386,356,310,8,38,20
Granted,57,53,48,0,5,0
Denied,327,301,260,8,33,20
Remanded,2,2,2,0,0,0
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total",74,60,49,5,6,0
Regional Directors' decisions,,,,,,
Affirmed,34,30,25,2,3,
Modified,24,17,15,,1,
Reversed,16,13,9,2,2,
Outcome,,,,,,
Election directed,49,36,30,2,4,0
Dismissals on record,25,24,19,3,2,0
