row_label,Number / All cases,Number / Unfair labor practice cases,Number / Representation cases,Percent of total / Unfair labor practice cases,Percent of total / Representation cases,Workers involved / Unfair labor practice cases,Workers involved / Representation cases
Total,14909,4232,10677,28.4,71.6,3158190,1387731
July,1490,390,1100,26.2,73.8,174167,139288
August,1662,440,1222,26.5,73.5,277000,131192
September,1309,290,1019,27.2,72.8,170347,112506
October,1624,564,1060,34.7,65.3,198012,119656
November,1124,347,777,30.9,69.1,222560,86328
December,959,315,644,32.8,67.2,212101,112463
January,1147,327,820,28.5,71.5,313353,117465
February,1208,286,922,23.7,76.3,322873,113585
March,1193,335,858,28.1,71.9,729577,146992
April,1173,323,850,27.5,72.5,152053,118174
May,1055,290,765,28.2,71.8,362237,116622
June,865,225,640,26.0,74.0,113860,73260
