Case No.,Union and company,Date petition for injunction filed,Type of petition,Temp. restraining order — Date issued,Temp. restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
"24-CC-22, 23",AFL-Union de Trabajadores De Mullin #5922 (San Juan Mercantile Corp. & International Longshoremen's Assn ILA Local 1741-P.R. and Its Local Affiliates),"July 9, 1954",10 (l),"July 16, 1954","Dec 14, 1954",,,"Dec 14, 1954","Oct 13, 1954"
"14-CC-89, 60","United Mine Workers of A., Dist 50 (Mason Machine Works & Wiley Cochran)","July 13, 1954",10 (l),"July 21, 1954",,,,"May 5, 1955","Apr 21, 1955"
15-CC-41,"AFL-Teamsters, Local 669 (Olean Building & Exchange)","July 13, 1954",10 (l),,,,,,Settled.
10-CC-41,"AFL-Teamsters, Local 391 (Alabama Cartage Co. Inc.)","July 19, 1954",10 (l),,,,,"Oct 22, 1954","Sept 1, 1954"
14-CC-91,"AFL-Teamsters, Local 315 (Bowman Transportation Co.)","July 26, 1954",10 (l),,,,,,"Jan 12, 1955"
10-CC-70,"AFL-Teamsters, Local 859 (Associated General Contractors of America)","Aug 3, 1954",10 (l),,,,,,"Dec 6, 1954"
2-CC-308,"AFL-Teamsters, Local 553 (Old Products, Inc.)","Aug 9, 1954",10 (l),,,"Aug 16, 1954",,"Aug 27, 1954","Nov 15, 1954"
"6-CD-33, 34","AFL-Plumbers, Local 449 (Refrigeration Equipment Co.)","Aug 9, 1954",10 (l),,,,,,"May 6, 1955"
2-CC-313,"AFL-Carpenters, Millmen's Local 870 et al. (Furtsi Building & Mfg Co.)","Aug 11, 1954",10 (l),,,,,,Withdrawn.
"16-CC-34, 41","AFL-Teamsters, Local 47 (Texas Industries, Inc. and McCann Construction)","Aug 16, 1954",10 (l),,,,,,"Feb 14, 1955"
10-CC-30,"AFL-Teamsters, Local 728 (National Trucking Co.)","Aug 17, 1954",10 (l),,,"Sept 20, 1954",,"Apr 30, 1955","Feb 25, 1955"
6-CC-31,"AFL-Bridge, Structural Iron Workers Outside Erectors, Local 207 (Bushnell Steel Co.)","Aug 18, 1954",10 (l),,,"Sept 1, 1954",,,"Sept 1, 1955"
13-CB-377,AFL-Brewery Wire Weavers Protective Assn (Appleton Wire Workers),"Aug 23, 1954",10 (l),,,,,"Sept 10, 1954",Withdrawn.
"14-CC-62, 14-CD-47",AFL-District Council of Carpenters etc. (Arsenoth Venetian Blind Mfg. Co.),"Aug 25, 1954",10 (l),,,,,"Sept 21, 1954",Withdrawn.
2-CC-318,"AFL-Carpenters, Local 11 (General Mill-Work, Inc.)","Sept 3, 1954",10 (l),,,,,,"Apr 21, 1955"
22-CC-11,AFL-Retail Clerks and Local 1409 (Lewis Food Stores),"Sept 7, 1954",10 (l),,,,,,Withdrawn.
21-CC-486,"AFL-Carpenters and Local 1976 (Sand, Door & Plywood Co.)","Sept 9, 1954",10 (l),,,,,"Nov 22, 1954",
