Types of formal actions taken,Cases in which formal actions taken,Formal actions taken by type of case / Total formal actions taken,Formal actions taken by type of case / RC,Formal actions taken by type of case / RM,Formal actions taken by type of case / RD,Formal actions taken by type of case / UD
"Decisions on objections and/or challenges, total",1249,1203,1118,43,42,14
By regional directors,359,342,312,17,13,13
By Board,890,861,806,26,29,1
In stipulated elections,861,833,778,26,29,1
No exceptions to regional directors' reports,510,497,449,21,27,0
Exceptions to regional directors' reports,351,336,329,5,2,1
In directed elections (after transfer by regional director),21,20,20,0,0,0
Review of Regional directors' supplemental decisions: Request for review received,57,49,45,3,1,2
Withdrawn before request ruled upon,2,2,2,0,0,0
"Board action on requests ruled upon, total",50,42,38,3,1,2
Granted,13,13,12,1,0,0
Denied,31,23,21,1,0,1
Remanded,6,6,5,1,1,1
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total",8,8,8,0,0,0
Regional directors' decisions: Affirmed,3,3,3,0,0,0
Regional directors' decisions: Modified,3,3,3,0,0,0
Regional directors' decisions: Reversed,2,2,2,0,0,0
