row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Under 10,535,100,20.6,20.6,7,5.2,,,0,,93,27.7
10 to 19,1589,111,22.9,43.5,24,17.9,,,3,25.0,84,25.0
20 to 29,1618,67,13.8,573,18,13.4,,33.3,1,83,47,14.0
30 to 39,1582,46,9.5,66.8,13,9.7,,,3,25.0,30,8.9
40 to 49,1295,30,6.2,73.0,9,6.7,,,0,,21,63
50 to 59,1057,19,3.9,76.9,14,10.4,,,1,83,4,1.2
60 to 69,1542,24,4.9,81.8,9,6.7,,,0,,15,4.5
70 to 79,877,12,2.5,843,4,3.0,,,0,,8,2.4
80 to 89,597,7,1.4,85.7,3,2.2,,,0,,4,1.2
90 to 99,667,7,1.4,87.1,4,3.0,,33.3,0,,2,0.6
100 to 109,417,4,0.8,87.9,1,0.8,,,0,,3,0.8
110 to 119,910,8,1.6,89.5,2,1.5,,,0,,6,1.8
120 to 129,1000,8,1.6,91.1,5,3.7,,333,0,,2,0.6
130 to 139,403,3,0.6,91.7,2,1.5,,,1,8.3,0,
140 to 149,295,2,0.4,92.1,1,0.8,,,0,,1,03
150 to 159,625,4,0.8,92.9,1,0.8,,,0,,3,0.8
160 to 169,994,6,13,94.2,5,3.7,,,1,83,0,
170 to 199,2014,11,2.4,,,4.5,,,0,,5,1.5
200 to 299,,,,96.6,6,,,,0,,2,0.6
,1264,5,1.1,97.7,3,2.2,,,0,,4,1.2
300 to 499 500 to 799,2107,6,1.3 0.6,99.0 99.6,2,1.5 0.8,,,0,,2,0.6
800 and over,"1,593 2,030",3 2,0.4,100.0,1 0,,,,2,16.8,0,
