row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,4197,368,8.8,124,3.0,29,0.7,397,9.5,153,3.6
By type of case:,,,,,,,,,,,
In RC cases,3257,313,9.6,101,3.1,28,0.9,341,10.5,129,4.0
In RM cases,168,11,6.5,4,2.4,0,0.0,11,6.5,4,2.4
In RD cases,727,44,5.7,19,2.5,I,0.1,45,5 8,20,2.6
By type of election:,,,,,,,,,,,
Consent elections.,89,7,7.9,3,5.6,3,3.4,10,11.2,8,9.0
Stipulated elections,3425,305,89,90,2.6,23,07,328,9.6,113,3.3
Expedited elections,0,0,,0,,0,,0,,0,
Regional Director-directed elections .,666,53,80,27,4.1,3,0.5,56,8.4,30,4.5
Board-directed elections,17,3,17.6,2,11.8,0,0.0,3,17.6,2,11.8
