row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
"Total, all...................................................................",4786,100.0,3838,100.0,146,100.0,802,100.0,93,100.0
"Certification issued, total.......................................................",2866,59.9,2400,62.5,56,38.4,410,51.1,44,47.3
After:,,,,,,,,,,
Consent election......................................................,3,0.1,3,0.1,0,0.0,0,0.0,0,0.0
Before notice of hearing.....................................,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"After notice of hearing, before hearing closed..",3,0.1,3,0.1,0,0.0,0,0.0,0,0.0
"After hearing closed, before decision.................",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated election...................................................,2411,50.4,2021,52.7,45,30.8,345,43.0,32,34.4
Before notice of hearing.....................................,309,6.5,218,5.7,9,6.2,82,10.2,14,15.1
"After notice of hearing, before hearing closed...",2082,43.5,1788,46.6,35,24.0,259,32.3,18,19.4
"After hearing closed, before decision.................",20,0.4,15,0.4,1,0.7,4,0.5,0,0.0
Expedited election...................................................,2,0.0,0,0.0,2,1.4,0,0.0,0,0.0
Regional Director-directed election........................,307,6.4,251,6.5,8,5.5,48,6.0,11,11.8
Board-directed election...........................................,143,3.0,125,3.3,1,0.7,17,2.1,1,1.1
"By withdrawal, total..............................................................",1690,35.3,1346,35.1,61,41.8,283,35.3,41,44.1
Before notice of hearing...............................................,259,5.4,154,4.0,26,17.8,79,9.9,31,33.3
"After notice of hearing, before hearing closed.............",1276,26.7,1048,27.3,33,22.6,195,24.3,10,10.8
"After hearing closed, before decision...........................",34,0.7,31,0.8,1,0.7,2,0.2,0,0.0
After Regional Director's decision and direction of election...................................................................,97,2.0,92,2.4,0,0.0,5,0.6,0,0.0
After Board decision and direction of election............,24,0.5,21,0.5,1,0.7,2,0.2,0,0.0
"By dismissal, total..................................................................",230,4.8,92,2.4,29,19.9,109,13.6,8,8.6
Before notice of hearing...............................................,51,1.1,9,0.2,5,3.4,37,4.6,7,7.5
"After notice of hearing, before hearing closed.............",90,1.9,25,0.7,14,9.6,51,6.4,0,0.0
"After hearing closed, before decision...........................",1,0.0,0,0.0,0,0.0,1,0.1,0,0.0
By Regional Director's decision..................................,70,1.5,49,1.3,5,3.4,16,2.0,1,1.1
By Board decision........................................................,18,0.4,9,0.2,5,3.4,4,0.5,0,0.0
