row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
"2,000 to 2,999....................................................",5627,2,0.1,100.0,2,0.2,0,0.0,0,0.0,0,0.0
"3,000 to 9,999....................................................",4785,1,0.0,100.0,0,0.0,0,0.0,0,0.0,1,0.1
"Over 9,999..........................................................",0,0,0.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0
,B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD)
Total RD elections.....................,25600,418,100.0,,121,100.0,7,100.0,2,100.0,288,100.0
Under 10............................................................,491,78,18.7,18.7,10,8.3,0,0.0,0,0.0,68,23.6
10 to 19..............................................................,1054,75,17.9,36.6,15,12.4,1,14.3,0,0.0,59,20.5
20 to 29..............................................................,1333,56,13.4,50.0,17,14.0,0,0.0,1,50.0,38,13.2
30 to 39..............................................................,1577,46,11.0,61.0,14,11.6,1,14.3,1,50.0,30,10.4
40 to 49..............................................................,1575,36,8.6,69.6,16,13.2,0,0.0,0,0.0,20,6.9
50 to 59..............................................................,991,18,4.3,73.9,4,3.3,3,42.9,0,0.0,11,3.8
60 to 69..............................................................,1322,20,4.8,78.7,6,5.0,0,0.0,0,0.0,14,4.9
70 to 79..............................................................,1298,17,4.1,82.8,7,5.8,1,14.3,0,0.0,9,3.1
80 to 89..............................................................,899,11,2.6,85.4,5,4.1,0,0.0,0,0.0,6,2.1
90 to 99..............................................................,831,9,2.2,87.6,3,2.5,0,0.0,0,0.0,6,2.1
100 to 109..........................................................,801,7,1.7,89.2,4,3.3,0,0.0,0,0.0,3,1.0
110 to 119..........................................................,759,7,1.7,90.9,3,2.5,0,0.0,0,0.0,4,1.4
120 to 129..........................................................,390,4,1.0,91.9,1,0.8,0,0.0,0,0.0,3,1.0
130 to 139..........................................................,665,5,1.2,93.1,3,2.5,0,0.0,0,0.0,2,0.7
140 to 149..........................................................,288,2,0.5,93.5,1,0.8,0,0.0,0,0.0,1,0.3
150 to 159..........................................................,516,4,1.0,94.5,3,2.5,1,14.3,0,0.0,0,0.0
160 to 169..........................................................,490,3,0.7,95.2,0,0.0,0,0.0,0,0.0,3,1.0
170 to 199..........................................................,689,4,1.0,96.2,3,2.5,0,0.0,0,0.0,1,0.3
200 to 299..........................................................,2325,11,2.6,98.8,4,3.3,0,0.0,0,0.0,7,2.4
300 to 499..........................................................,1430,4,1.0,99.8,2,1.7,0,0.0,0,0.0,2,0.7
500 to 799..........................................................,5876,1,0.2,100.0,0,0.0,0,0.0,0,0.0,1,0.3
800 and Over .....................................................,0,0,0.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0
