Method and stage of disposition,Number of cases,Percent of total closed
Total number of cases closed before issuance of complaint,47,100.0
Agreement of the parties-informal settlement,26,55.3
Before 10(k) notice,15,31.9
"After 10(k) notice, before opening of 10(k) hearing",6,12.8
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",4,8.5
After Board decision and determination of dispute,1,2.1
Compliance with Board decision and determination of dispute,2,4.3
Withdrawal,13,27.7
Before 10(k) notice,11,23.4
"After 10(k) notice, before opening of 10(k) hearing",2,4.3
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",0,0.0
After Board decision and determination of dispute,0,0.0
Dismissal,6,12.8
Before 10(k) notice,6,12.8
"After 10(k) notice, before opening of 10(k) hearing",0,0.0
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",0,0.0
By Board decision and determination of dispute,0,0.0
