row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Illinois......................................................,153,94,35,58,1,59,10573,8430,4818,1308,3484,26,3612,6919
Indiana......................................................,57,32,19,12,1,25,3197,2816,1484,1130,305,49,1332,1720
Michigan..................................................,93,44,15,27,2,49,4225,3444,1890,704,1081,105,1554,2192
Ohio..........................................................,107,54,25,27,2,53,7864,6578,4396,3012,1322,62,2182,5101
Wisconsin..................................................,40,20,10,10,0,20,2894,2611,890,538,352,0,1721,706
East North Central................................,450,244,104,134,6,206,28753,23879,13478,6692,6544,242,10401,16638
Alabama....................................................,28,18,9,9,0,10,3211,3240,1755,818,937,0,1485,1207
Kentucky..................................................,21,8,3,5,0,13,1434,1353,654,395,245,14,699,572
Mississippi................................................,9,6,4,2,0,3,506,437,252,157,95,0,185,362
Tennessee..................................................,19,10,5,5,0,9,1320,1183,482,265,177,40,701,453
East South Central................................,77,42,21,21,0,35,6471,6213,3143,1635,1454,54,3070,2594
Puerto Rico................................................,49,24,1,9,14,25,3255,2458,1185,201,347,637,1273,1047
U.S. Minor Outlying Islands....................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands............................................,5,1,0,0,1,4,371,252,111,0,0,111,141,54
Island Areas..........................................,54,25,1,9,15,29,3626,2710,1296,201,347,748,1414,1101
New Jersey................................................,89,46,21,21,4,43,5619,4643,2503,838,1350,315,2140,2666
New York..................................................,358,238,120,97,21,120,18749,12835,7749,2190,4810,749,5086,12716
Pennsylvania............................................,121,57,27,29,1,64,7981,7395,3502,1871,1591,40,3893,3141
Middle Atlantic....................................,568,341,168,147,26,227,32349,24873,13754,4899,7751,1104,11119,18523
Arizona......................................................,15,11,3,8,0,4,971,822,439,19,403,17,383,500
Colorado....................................................,32,9,6,2,1,23,1321,1174,459,318,121,20,715,419
Idaho..........................................................,4,2,1,1,0,2,2653,631,292,227,65,0,339,2311
Montana....................................................,8,4,3,1,0,4,283,285,154,76,78,0,131,47
Nevada......................................................,21,11,5,5,1,10,840,737,359,198,115,46,378,357
New Mexico..............................................,12,6,3,3,0,6,367,339,177,118,59,0,162,210
Utah..........................................................,2,0,0,0,0,2,265,214,78,0,78,0,136,0
Wyoming..................................................,6,2,2,0,0,4,104,99,26,18,8,0,73,13
