Case No.,Union and company,Date petition for injunction filed,Type of petition,Temporary restraining order — Date issued,Temporary restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
"10-CC-76, 79","Machinists Local Lodge 380, Oklahoma State Building Trades Council, and Lawless Building & Construction Trades Council (Freeman Construction Co. et al.)","Aug. 26, 1957",10 (l),,,"Aug. 26, 1957",,"Sept. 13, 1957","Sept. 13, 1957"
"16-CC-77, 78","*National Association Broadcasters, Engineers & Technicians, and Local 49 (Central Plains Enterprises, Inc.)","Aug. 29, 1957",10 (l),,,"Sept. 4, 1957",,"Sept. 22, 1957","Apr. 17, 1958"
5-CC-87,"*Teamsters, Local 639 (Avon Janitor Supply Co.)","Sept. 3, 1957",10 (l),,,,,"Nov. 20, 1957","May 14, 1958"
6-CC-145,"Electrical Workers, Local 5 (Franklin Electric Construction Co.)","Sept. 3, 1957",10 (l),,,,,,"Apr. 17, 1958"
2-CD-138,Plumbers and Local 103 (General Plumbing Corp.),"Sept. 3, 1957",10 (l),,,,,,Withdrawn.
13-CC-151,"Typographical Union, Chicago Typographical Union 16 (Weil-Lien Printing Co.)","Sept. 4, 1957",10 (l),,,,,"Oct. 3, 1957",Withdrawn.
10-CC-342,"*Teamsters, Local 728 (Whitley Construction Co.)","Sept. 5, 1957",10 (l),,,"Sept. 6, 1957","Sept. 17, 1957",,"Apr. 16, 1958"
39-CC-40,"Engineers, Operating, Local 450 (E.C. Cook Steel Co.)","Sept. 5, 1957",10 (l),,,"Sept. 6, 1957","Sept. 17, 1957","Sept. 17, 1957","Mar. 4, 1958"
18-CC-45,"Engineers, Operating, Local 49, and Teamsters Local 874 (Omnibus Bros.)","Sept. 5, 1957",10 (l),,,,,,Settled.
"2-CC-182, 10-CC-319","*Teamsters, Local 23 (Larkin Co.)","Sept. 10, 1957",10 (l),,,,,"Jan. 27, 1958",Settled.
"21-CC-285, 35-CC-45","*Teamsters, Local 691 (Morgan Drive-Away, Inc.)","Sept. 19, 1957",10 (l),,,,"Oct. 23, 1957","Nov. 1, 1957","Jan. 23, 1958"
22-CC-4,"*Teamsters, Milk Drivers & Delivery Employees Local 680 (Crowley's Milk Co., Inc.)","Sept. 25, 1957",10 (l),,,,,"Oct. 17, 1957",
17-CC-81,"*Teamsters, Tulsa General Drivers, Warehousemen & Helpers Union, Local 523 (Cooper Supply Co.)","Sept. 26, 1957",10 (l),,,,,,
1-CC-190,Pittsburg Building Trades Council et al. (Sopnaa & Aho Construction),"Oct. 1, 1957",10 (l),,,,,,"Mar. 12, 1958"
20-CC-141,"*Teamsters, Local 6241 (Devre Storage & Moving)","Oct. 4, 1957",10 (l),,,,,,"Apr. 7, 1958"
1-CC-186,"Carpenters, Local 540, et al. (Notwicz-Halvonen-Anton & Associates)","Oct. 4, 1957",10 (l),,,,,,
13-CC-186,"Bridge, Structural Iron Workers, Local 503 (Oliver White Co.)","Oct. 4, 1957",10 (l),,,,,"May 29, 1958","May 8, 1958"
"2-CC-444, CD-127-129","*Teamsters, Local 285 (Trading Trades Employers Association of L. I., Inc.)","Oct. 11, 1957",10 (l),,,,,,"June 10, 1958"
