row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Total RD elections.....................,23698,381,100.0,,114,100.0,18,100.0,4,100.0,245,100.0
Under 10............................................................,501,80,21.0,21.0,9,7.9,1,5.6,1,25.0,69,28.2
10 to 19..............................................................,1042,75,19.7,40.7,12,10.5,2,11.1,0,0.0,61,24.9
20 to 29..............................................................,1394,57,15.0,55.6,13,11.4,4,22.2,1,25.0,39,15.9
30 to 39..............................................................,951,28,7.3,63.0,10,8.8,2,11.1,0,0.0,16,6.5
40 to 49..............................................................,697,16,4.2,67.2,6,5.3,1,5.6,0,0.0,9,3.7
50 to 59..............................................................,672,12,3.1,70.3,9,7.9,0,0.0,0,0.0,3,1.2
60 to 69..............................................................,1124,18,4.7,75.1,6,5.3,1,5.6,0,0.0,11,4.5
70 to 79..............................................................,702,11,2.9,78.0,4,3.5,0,0.0,0,0.0,7,2.9
80 to 89..............................................................,495,7,1.8,79.8,3,2.6,0,0.0,0,0.0,4,1.6
90 to 99..............................................................,1097,11,2.9,82.7,6,5.3,1,5.6,1,25.0,3,1.2
100 to 109..........................................................,750,7,1.8,84.5,3,2.6,1,5.6,0,0.0,3,1.2
110 to 119..........................................................,389,4,1.0,85.6,1,0.9,0,0.0,1,25.0,2,0.8
120 to 129..........................................................,496,4,1.0,86.6,3,2.6,0,0.0,0,0.0,1,0.4
130 to 139..........................................................,1014,8,2.1,88.7,7,6.1,0,0.0,0,0.0,1,0.4
140 to 149..........................................................,767,5,1.3,90.0,2,1.8,2,11.1,0,0.0,1,0.4
150 to 159..........................................................,909,6,1.6,91.6,3,2.6,0,0.0,0,0.0,3,1.2
160 to 169..........................................................,301,2,0.5,92.1,1,0.9,0,0.0,0,0.0,1,0.4
170 to 199..........................................................,1139,6,1.6,93.7,2,1.8,2,11.1,0,0.0,2,0.8
200 to 299..........................................................,3064,13,3.4,97.1,7,6.1,1,5.6,0,0.0,5,2.0
300 to 499..........................................................,3083,7,1.8,99.0,6,5.3,0,0.0,0,0.0,1,0.4
500 to 799..........................................................,0,0,0.0,99.0,0,0.0,0,0.0,0,0.0,0,0.0
800 and Over .....................................................,3111,4,1.0,100.0,1,0.9,0,0.0,0,0.0,3,1.2
