row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
Proceedings decided by U.S. courts of appeals and other courts………..,88,85,3,0,2,96.6,3.4,,,,
On proceedings for review and/or enforcement………...……….......,73,71,2,0,0,97.3,2.7,,100.0,11827,100.0
Board orders affirmed in full…………………………………...,56,54,2,0,1,96.4,3.6,,50.0,7825,66.2
Board orders affirmed with modification……………………….,8,8,0,0,0,100.0,,,0.0,1553,13.1
RemandedtotheBoard…………………………………………,1,1,0,0,1,100.0,,,50.0,589,5.0
Board orders partially affirmed and partially remanded ………..,6,6,0,0,0,100.0,,,0.0,268,2.3
Board orderssetaside…………………………………………..,2,2,0,0,0,100.0,,,0.0,1592,13.5
On petitionsforcontempt……………………………………………,15,14,1,0,0,93.3,6.7,,,,
Ancillary proceedings in district courts and/or bankruptcy courts,19,18,1,0,0,94.7,5.3,,,,
TotalCourtOrders…………………………………………………..,42,39,3,0,0,92.9,7.1,,,,
"Compliance after filing of petition, before court order …..…......",22,20,2,0,0,90.9,9.1,,,,
Court orders holding respondent in contempt ………………......,8,7,1,0,0,87.5,12.5,,,,
Court orders denying petition or discontinuing proceedings at,3,3,0,0,0,100.0,,,,,
CLCBrequest…………………………………………………… Court orders directing compliance without contempt adjudication…………..…………………………………………,9,9,0,0,0,100.0,,,,,
Proceedings decided by U.S. Supreme Court 3 ………………………….,0,0,0,0,0,,,,,259,100.0
Board orders affirmed in full……………………………..………...,0,0,0,0,0,,,,,155,59.8
Board orders affirmed with modification…………………………...,0,0,0,0,0,,,,,18,6.9
Board orders setaside……………………………………………....,0,0,0,0,0,,,,,46,17.8
RemandedtotheBoard………………………….………………….,0,0,0,0,0,,,,,20,7.7
Remanded to court of appeals………………………………...…….,0,0,0,0,0,,,,,17,6.6
Board's request for remand or modification of enforcement order denied………….…………………………...…………………….…,0,0,0,0,0,,,,,1,0.4
Contempt cases remanded to court of appeals……………………...,0,0,0,0,0,,,,,1,0.4
Contempt casesenforced……………………..…………………….,0,0,0,0,0,,,,,1,0.4
