row_label,Total / Number,Total / Percent by type,By employer / Number,By employer / Percent by type,By union / Number,By union / Percent by type,By both parties / Number,By both parties / Percent by type
All representation elections,253,100.0,91,36.0,159,62.8,3,1.2
By type of case:,,,,,,,,
RC cases,232,100.0,85,36.6,144,62.1,3,1.3
RM cases,1,100.0,1,100.0,0,,0,
RD cases,20,100.0,5,25.0,15,75.0,0,
By type of election:,,,,,,,,
Consent elections,0,,0,,0,,0,
Stipulated elections,188,100.0,71,37.8,115,61.2,2,1.0
Expedited elections,0,,0,,0,,0,
Regional Director-directed elections,65,100.0,20,30.8,44,67.7,1,1.5
Board-directed elections,0,,0,,0,,0,
