row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Decisions on objections and/or challenges, total",971,901,812,24,74,18
By Regional Directors,266,241,213,6,22,8
By Board,705,669,599,18,52,10
In stipulated elections,651,618,554,17,47,10
No exceptions to Regional Directors' reports,400,388,363,6,19,7
Exceptions to Regional Directors' reports,251,230,191,11,28,3
In directed elections (after transfer by Regional Director),50,47,41,I,5,0
Review of Regional Directors' supplemental decisions Request for review received Withdrawn before request ruled upon,289 1,284 1,269 1,4 0,11 0,0 0
"Board action on request ruled upon, total",,,,2,10,0
,309,271,259,,,
Granted,41,40,39,0,1,0
Dented,263,229,218,2,9,0
Remanded,5,2,2,0,0,0
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total",4,4,4,0,0,0
Regional Directors' decisions,1,1,1,0,,0
Affirmed Modified,1,1,1,0,0,0
Reversed,2,2,2,0,0 0,0
