row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total",2449,2167,1980,106,81,2
Initial hearings Hearings on objections and/or challenges,"2,314 135","2,034 133","1,814 126",101 5,79 2,1 1
"Decisions issued, total",2249,1985,1809,91,85,1
By regional director,2005,1828,5676,79,73,1
Elections directed Dismissals on record,"1,794 211","1,647 181","1,525 151",56 23,66 7,1 0
By Board,244,157,133,12,12,0
After transfer by regional director for initial decision,197,113,96,10,7,0
Elections directed Dismissals on record,159 38,86 27,76 20,7 3,3 4,0 0
After review of regional director's decision,47,44,37,2,5,0
Elections directed Dismissals on record,32 15,30 14,25 12,2 0,3 2,0 0
"Decisions on objections and/or challenges, total_",869,784,732,38,14,5
By regional director,444,364,341,15,8,4
By Board,425,420,391,23,6,1
In stipulated elections,377,373,346,21,6,0
No exceptions to regional director's report,222,218,202,12,4,0
Exceptions to regional director's re- port,155,155,144,9,2,0
In directed elections (after transfer by regional director),25,24,23,1,0,1
In directed elections after review of re- gional director's supplemental decision_,23,23,22,1,0,0
