row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
TOTALS-ALL TYPES,18,18,0,9,9,0,5,5,0,3,3,0,1,1,0
NLRB-initiated actions or interventions,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0
To enforce NLRB subpoenas,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
To intervene,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Action by other parties,16,16,0,8,8,0,4,4,0,3,3,0,1,1,0
To review:,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0
Subject matter jurisdiction,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Prosecutorial discretion,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Nonfinal/representation orders,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
To restrain NLRB from:,4,4,0,1,1,0,1,1,0,1,1,0,1,1,0
Proceeding in unfair labor practice case,4,4,0,1,1,0,1,1,0,1,1,0,1,1,0
To compel NLRB to:,6,6,0,3,3,0,3,3,0,0,0,0,0,0,0
Issue complaint,4,4,0,3,3,0,1,1,0,0,0,0,0,0,0
Provide docs under FOIA,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
Other,3,3,0,1,1,0,0,0,0,2,2,0,0,0,0
Obj. to Board's proof of claim,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0
Appeal of Board's 10(k) Order,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
