row_label,col_1,col_2
B2. Analysis of 8(b)(7),B2. Analysis of 8(b)(7),B2. Analysis of 8(b)(7)
Total cases 8(b)(7)................................................,62,100.0
8(b)(7)(A)..............................................................,13,21.0
8(b)(7)(B)..............................................................,2,3.2
8(b)(7)(C)..............................................................,46,74.2
8(b)(7)(A)(C)........................................................,1,1.6
1,1,1
8(b)(7)(A)..............................................................,14,22.6
8(b)(7)(B)..............................................................,2,3.2
8(b)(7)(C)..............................................................,47,75.8
C. Charges filed under Sec. 8(e),C. Charges filed under Sec. 8(e),C. Charges filed under Sec. 8(e)
Total cases 8(e)....................................................,48,100.0
Against unions alone............................................,40,83.3
Against employers alone......................................,7,14.6
Against both..........................................................,1,2.1
D. Charges filed Sec. 8(g),D. Charges filed Sec. 8(g),D. Charges filed Sec. 8(g)
Total cases 8(g)....................................................,13,100.0
