row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Total number of cases closed...............................,29670,100.0,,22745,100.0,6158,100.0,428,100.0,171,100.0,29,100.0,23,100.0,116,100.0
Agreement of the parties......................................,10876,36.7,100.0,9624,42.3,1001,16.3,183,42.8,3,1.8,14,48.3,7,30.4,44,37.9
Informal settlement.....................................,10820,36.5,99.5,9572,42.1,997,16.2,183,42.8,3,1.8,14,48.3,7,30.4,44,37.9
Before issuance of complaint...............,8108,27.3,74.5,7036,30.9,859,13.9,158,36.9,2,1.2,11,37.9,6,26.1,36,31.0
"After issuance of complaint, before opening of hearing..........................",2577,8.7,23.7,2407,10.6,133,2.2,25,5.8,0,0.0,3,10.3,1,4.3,8,6.9
"After hearing opened, before issuance of administrative law judge's decision...........................................",135,0.5,1.2,129,0.6,5,0.1,0,0.0,1,0.6,0,0.0,0,0.0,0,0.0
Formal settlement........................................,56,0.2,0.5,52,0.2,4,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Before opening of hearing...................,54,0.2,0.5,50,0.2,4,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated decision........................,2,0.0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consent decree..............................,52,0.2,0.5,48,0.2,4,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
After hearing opened...........................,2,0.0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated decision........................,1,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consent decree..............................,1,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Compliance with...................................................,738,2.5,100.0,672,3.0,53,0.9,10,2.3,1,0.6,1,3.4,0,0.0,1,0.9
Administrative law judge's decision..........,4,0.0,0.5,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Board decision............................................,430,1.4,58.3,388,1.7,37,0.6,2,0.5,1,0.6,1,3.4,0,0.0,1,0.9
Adopting administrative law judge's decision (no exceptions filed).........,145,0.5,19.6,124,0.5,19,0.3,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0
Contested.............................................,285,1.0,38.6,264,1.2,18,0.3,0,0.0,1,0.6,1,3.4,0,0.0,1,0.9
Circuit court of appeals decree....................,304,1.0,41.2,280,1.2,16,0.3,8,1.9,0,0.0,0,0.0,0,0.0,0,0.0
Supreme Court action..................................,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Withdrawal...........................................................,8496,28.6,100.0,6590,29.0,1691,27.5,163,38.1,0,0.0,7,24.1,9,39.1,36,31.0
