Affiliation of participating unions,Employees eligible to vote,Total valid votes cast,Percent casting valid votes,Valid votes cast for losing unions / AFL affiliates,Valid votes cast for losing unions / CIO affiliates,Valid votes cast for losing unions / Unaffiliated unions,Valid votes cast for no union
Total,153548,139621,90.9,23719,23358,1522,91022
"1-union elections, AFL",68123,61833,90.8,19549,,,42284
"1-union elections, CIO",61141,55924,91.5,,20227,,35697
"1-union elections, Unaffiliated",3825,3433,89.8,,,1140,2293
"2-union elections, AFL-CIO",13202,12230,92.6,2592,2260,,7378
"2-union elections, AFL-Unaffiliated",1330,1163,87.4,234,,271,658
"2-union elections, A.F.L.-A.F.L.",2157,1825,84.7,520,,,1306
"2-union elections, CIO-Unaffiliated",867,783,90.3,,262,90,431
"2-union elections, C.I.O.-C.I.O.",13,12,92.3,,4,,8
"2-union elections, Unaffiliated-Unaffiliated",4,2,50.0,,,2,
"3-union elections, AFL-CIO-Unaffiliated",289,272,94.1,31,57,19,165
"3-union elections, AFL-AFL-AFL",324,296,91.4,110,,,186
"3-union elections, AFL-AFL-CIO",2273,1847,81.3,683,548,,616
