row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1, 1994",".22,244",14830,1107,1133,5174,
Received fiscal 1995,26244,17492,849,1184,6719,
On docket fiscal 1995,48488,32.322,1956,2317,11893,
Closed fiscal 1995,23862,15599,766,1097,6400,
"Pending September 30, 1995",24626,16723,1.190,1220,5.493,
,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases
"Pending October I, 1994",".4,214",72,1,36,3.389,716
Received fiscal 1995,6989,71,1,36,6180,701
On docket fiscal 1995,11203,143,2,72,9.569,1417
Closed fiscal 1995,7004,62,0,34,6195,713
"Pending September 30, 1995",4199,81,2,38,3374,704
,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases
"Pending October 1, 1994",*464,2,,5,,457
Received fiscal 1995,463,5,3,14,,441
On docket fiscal 1995,927,7,3,19,,898
Closed fiscal 1995,522,4,0,15,,503
"Pending September 30, 1995",405,3,3,4,,395
,CD cases,CD cases,CD cases,CD cases,CD cases,CD cases
"Pending October I, 1994",•156,4,1,2,,149
Received fiscal 1995,204,19,3,,,177
On docket fiscal 1995,360,23,4,7,,326
Closed fiscal 1995,241,20,2,6,,213
"Pending September 30, 1995",119,3,2,1,,113
,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases
"Pending October 1, 1994 .",42,,,2,3,37
Received fiscal 1995,20,0,,4,,16
On docket fiscal 1995..,62,,,6,3,53
Closed fiscal 1995,28,,,4,2,22
"Pending September 30, 1995",34,,,2,,31
,CO cases,CO cases,CO cases,CO cases,CO cases,CO cases
"Pending October 1, 1994",16,,,1,,15
Received fiscal 1995,22,,,1,,21
On docket fiscal 1995,38,,,2,,36
Closed fiscal 1995,27,,,2,,25
"Pending Seriember 30, 1995",11,,,0,,11
,CP cases,CP cases,CP cases,CP cases,CP cases,CP cases
Pending October I. 1994,56,1,,,,55
Received fiscal 1995,98,2,,7,,88
On docket fiscal 1995,154,3,,7,,143
Closed fiscal 1995,91,1,,6,,83
"Pending September 30, 1995",63,2,,1,,60
