row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections................................,1695,53,3.1,25,1.5,6,0.4,59,3.5,31,1.8
By type of cases:,,,,,,,,,,,
In RC cases................................................,1399,46,3.3,19,1.4,5,0.4,51,3.6,24,1.7
In RMcases..............................................,17,2,11.8,1,5.9,0,0.0,2,11.8,1,5.9
In RD cases...............................................,279,5,1.8,5,1.8,1,0.4,6,2.2,6,2.2
By type of election:,,,,,,,,,,,
Consent elections......................................,47,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections...................................,1440,11,0.8,17,1.2,2,0.1,13,0.9,19,1.3
Expedited elections...................................,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections........,207,42,20.3,8,3.9,4,1.9,46,22.2,12,5.8
Board-directed elections...........................,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
