row_label,col_1,col_2,col_3,col_4
Subsections of section 8 of the act,,,,
(1),366,379,330,467
"(1), (2)",442,205,176,335
"(1), (3)",2879,2008,1971,2182
"(I), (4)",10,7,4,5
"( 1 ), (5)",1366,954,697,952
"(1), (2), (3)",475,183,164,209
"(I), (2), (4)",1,,,
", (2), (5)",157,60,56,63
"1), (3), (4)",49,54,32,24
"1), (3), (5)",805,668,443,493
"(I), (4), (5)",2,1,,
"(I), (2), (3), (4)",9,6,4,2
"( 1 ), (2), (3), (5)",235,87,52,79
"(1), (2), (4), (5)",,,,
"(I), (3), (4), (5)",3,4,5,6
"(1), (2), (3), (4), (5)",8,2,,
By individual subsections of section 8 of the act,,,,
F (1),6807,4618,3934,4817
£ (2),1327,543,452,688
f (3),4463,3012,2671,2995
(4),82,74,45,37
1(5),2576,1776,1253,1593
Total eases,6807,4618,3934,4817
