row_label,Cases in which formal actions taken,Total formal actions taken,RC,RM,RD,UD
"Decisions on objections and/or challenges, total",1608,1539,1382,61,96,12
By regional directors,330,325,285,28,12,7
By Board,1278,1214,1097,33,84,5
In stipulated elections,1237,1174,1055,33,86,5
No exceptions to regional directors' reports,755,729,636,25,68,5
Exceptions to regional directors' reports,473,436,412,8,16,0
In directed elections (after transfer by regional director),50,49,49,0,0,0
Review of Regional directors' supplemental decisions,,,,,,
Request for review received,45,45,41,0,4,0
Withdrawn before request ruled upon,0,0,0,0,0,0
"Board action on request ruled upon, total",29,29,26,0,3,0
Granted,3,3,2,0,1,0
Denied,26,26,24,0,2,0
Remanded,0,0,0,0,0,0
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total",0,0,0,0,0,0
Regional directors' decisions — Affirmed,0,0,0,0,0,0
Regional directors' decisions — Modified,0,0,0,0,0,0
Regional directors' decisions — Reversed,0,0,0,0,0,0
