row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Decisions on objections and/or challenges, total",418,406,357,5,44,3
By Regional Directors,58,53,46,2,5,0
By Board,360,353,311,3,39,3
In stipulated elections,321,318,277,2,39,2
No exceptions to Regional Directors' reports,186,183,158,,24,2
Exceptions to Regional Directors' reports,135,135,119,,15,0
In directed elections (after transfer by Regional Director),36,32,31,1,0,1
Review of Regional Directors' supplemental decisions:,37,35,32,1,2,
Request for review received Withdrawn before request ruled upon,3,2,2,0,0,
"Board action on request ruled upon, total .......",31,31,29,1,1,0
Granted .. Denied ....,5 24,5 24,5 23,,,
,,2,1,,,
Remanded,2,,,,,
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total",3,3,3,0,0,0
Regional Directors' decisions:,0,0,0,,,
Affirmed Modified,0,0,0,,,
Reversed,3,3,3,,,
