row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total",2458,2287,2082,97,108,2
Initial hearings Hearings on objections and/or challenges,"2,203 255","2,036 251","1,848 234",83 14,105 3,2 0
"Decisions issued, total",2144,1999,1819,85,95,4
By regional directors,1983,1872,1702,78,92,4
Elections directed Dismissals on record,"1,752 231","1,670 202","1,524 178",67 11,79 13,3 1
By Board,161,127,117,7,3,0
After transfer by regional di- rectors for initial decision,132,100,91,6,3,0
Elections directed Dismissals on record,95 37,74 26,68 23,3 3,3 0,0 0
After review of regional di- rectors' decisions,29,27,26,1,0,0
Elections directed Dismissals on record,21 8,19 8,18 8,1 0,0 0,0 0
"Decisions on objectives and/or challenges, total",1093,1065,984,59,22,10
By regional directors,411,397,369,17,11,8
By Board,724,712,654,47,11,2
In stipulated elections,668,659,610,38,11,1
No exceptions to regional di- rectors' reports,436,428,391,32,5,0
Exceptions to regional di- rectors' reports,232,231,219,6,6,1
In directed elections (after trans- fer by regional directors) In directed elections after review,39,36,29,7,0,1
of regional directors' supple- mental decisions,17,17,15,2,0,0
