row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
"Total, all...................................................................",4676,100.0,3810,100.0,107,100.0,759,100.0,102,100.0
"Certification issued, total.......................................................",2507,53.6,2086,54.8,49,45.8,372,49.0,51,50.0
After:,,,,,,,,,,
Consent election......................................................,88,1.9,80,2.1,1,0.9,7,0.9,1,1.0
Before notice of hearing.....................................,8,0.2,8,0.2,0,0.0,0,0.0,1,1.0
"After notice of hearing, before hearing closed..",80,1.7,72,1.9,1,0.9,7,0.9,0,0.0
"After hearing closed, before decision.................",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated election...................................................,2067,44.2,1704,44.7,41,38.3,322,42.4,40,39.2
Before notice of hearing.....................................,263,5.6,202,5.3,6,5.6,55,7.2,23,22.5
"After notice of hearing, before hearing closed...",1772,37.9,1476,38.7,35,32.7,261,34.4,16,15.7
"After hearing closed, before decision.................",32,0.7,26,0.7,0,0.0,6,0.8,1,1.0
Expedited election...................................................,1,0.0,0,0.0,1,0.9,0,0.0,0,0.0
Regional Director-directed election........................,188,4.0,169,4.4,2,1.9,17,2.2,5,4.9
Board-directed election...........................................,163,3.5,133,3.5,4,3.7,26,3.4,5,4.9
"By withdrawal, total..............................................................",1986,42.5,1624,42.6,43,40.2,319,42.0,39,38.2
Before notice of hearing...............................................,210,4.5,119,3.1,14,13.1,77,10.1,28,27.5
"After notice of hearing, before hearing closed.............",1671,35.7,1406,36.9,28,26.2,237,31.2,11,10.8
"After hearing closed, before decision...........................",28,0.6,25,0.7,0,0.0,3,0.4,0,0.0
After Regional Director's decision and direction of election...................................................................,60,1.3,58,1.5,1,0.9,1,0.1,0,0.0
After Board decision and direction of election............,17,0.4,16,0.4,0,0.0,1,0.1,0,0.0
"By dismissal, total..................................................................",183,3.9,100,2.6,15,14.0,68,9.0,12,11.8
Before notice of hearing...............................................,34,0.7,5,0.1,8,7.5,21,2.8,8,7.8
"After notice of hearing, before hearing closed.............",41,0.9,8,0.2,3,2.8,30,4.0,2,2.0
"After hearing closed, before decision...........................",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
By Regional Director's decision..................................,100,2.1,81,2.1,4,3.7,15,2.0,2,2.0
By Board decision........................................................,8,0.2,6,0.2,0,0.0,2,0.3,0,0.0
