Fiscal year,All cases / Before formal action,All cases / After formal action,Unfair labor practice cases / Before formal action,Unfair labor practice cases / After formal action,Representation cases / Before formal action,Representation cases / After formal action
1936-44,82.7,17.3,90.5,9.5,74.2,25.8
1936,84.1,15.9,83.5,16.5,88.2,11.8
1937,92.7,7.3,94.7,5.3,86.9,13.1
1938,90.9,9.1,96.4,3.6,80.9,19.1
1939,84.2,15.8,90.6,9.4,72.7,27.3
1940,82.9,17.1,88.6,11.4,73.1,26.9
1941,84.7,15.3,90.3,9.7,77.7,22.3
1942,84.2,15.8,91.9,8.1,77.6,22.4
1943,77.8,22.2,85.8,14.2,72.4,27.6
1944,72.1,27.9,84.7,15.3,66.9,33.1
