row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1, 2007.............",597,251,295,50,1,
Received fiscal 2008...................,2417,1004,1271,140,2,
On docket fiscal 2008..................,3014,1255,1566,190,3,
Closed fiscal 2008.......................,2429,977,1291,158,3,
"Pending September 30, 2008.......",585,278,275,32,0,
,RMCases,RMCases,RMCases,RMCases,RMCases,RMCases
"Pending October 1, 2007.............",46,,,,,46
Received fiscal 2008...................,139,,,,,139
On docket fiscal 2008..................,185,,,,,185
Closed fiscal 2008.......................,159,,,,,159
"Pending September 30, 2008.......",26,,,,,26
,RD Cases,RD Cases,RD Cases,RD Cases,RD Cases,RD Cases
"Pending October 1, 2007.............",221,0,1,1,219,
Received fiscal 2008...................,602,3,6,4,589,
On docket fiscal 2008..................,823,3,7,5,808,
Closed fiscal 2008.......................,629,2,5,5,617,
"Pending September 30, 2008.......",194,1,2,0,191,
