row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All representation elections..............................................,251,102,149,143,96.0,6,4.0
By type of case:,,,,,,,
RC cases.................................................................,229,96,133,127,95.5,6,4.5
RMcases................................................................,1,0,1,1,100.0,0,0.0
RD cases.................................................................,21,6,15,15,100.0,0,0.0
By type of election:,,,,,,,
Consent elections....................................................,1,1,0,0,0.0,0,0.0
Stipulated elections.................................................,122,84,38,36,94.7,2,5.3
Expedited elections.................................................,0,0,0,0,0.0,0,0.0
Regional Director-directed elections......................,128,17,111,107,96.4,4,3.6
Board-directed elections.........................................,0,0,0,0,0.0,0,0.0
