row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
44-Retail Trade....................................,183,87,80,4,3,96,8690,7814,3315,2977,209,129,4499,2871
"Sporting Goods, Hobby, Book and Music Stores........................................................",3,0,0,0,0,3,76,72,31,31,0,0,41,0
General Merchandise Stores....................,17,10,10,0,0,7,875,685,343,343,0,0,342,413
Miscellaneous Store Retailers..................,8,3,3,0,0,5,1155,1063,288,288,0,0,775,69
Nonstore Retailers....................................,10,3,3,0,0,7,550,445,212,204,8,0,233,216
45-Retail Trade....................................,38,16,16,0,0,22,2656,2265,874,866,8,0,1391,698
Air Transportation....................................,14,12,9,3,0,2,406,278,195,182,13,0,83,163
Rail Transportation..................................,8,5,5,0,0,3,329,302,199,199,0,0,103,175
Water Transportation................................,11,5,4,0,1,6,207,192,95,75,0,20,97,76
Truck Transportation................................,158,74,73,1,0,84,5810,4881,2667,2653,14,0,2214,3050
Transit and Ground Passenger Transportation..........................................,121,73,70,1,2,48,10012,7783,4151,3908,157,86,3632,4839
Pipeline Transportation............................,2,0,0,0,0,2,153,142,84,84,0,0,58,0
Scenic and Sightseeing Transportation....,2,1,1,0,0,1,14,12,8,8,0,0,4,6
Support Activities for Transportation......,22,14,13,1,0,8,774,640,400,396,4,0,240,499
48-Transportation................................,338,184,175,6,3,154,17705,14230,7799,7505,188,106,6431,8808
Postal Service............................................,5,4,4,0,0,1,562,515,329,329,0,0,186,557
Couriers and Messengers..........................,16,4,3,0,1,12,800,675,307,275,21,11,368,301
Warehousing and Storage Facilities..........,63,26,25,0,1,37,4825,4038,1751,1623,41,87,2287,1388
48-Transportation................................,84,34,32,0,2,50,6187,5228,2387,2227,62,98,2841,2246
Publishing Industries................................,33,16,16,0,0,17,2162,1920,823,823,0,0,1097,948
Motion Picture and Sound Recording,,,,,,,,,,,,,,
Industries..................................................,4,2,2,0,0,2,503,358,193,172,19,2,165,466
Broadcasting and Telecommunications....,71,38,36,2,0,33,2717,2373,1259,1239,20,0,1114,1335
Information Services and Data,,,,,,,,,,,,,,
Processing Services..................................,8,4,2,1,1,4,429,384,150,112,7,31,234,155
Information..........................................,116,60,56,3,1,56,5811,5035,2425,2346,46,33,2610,2904
Monetary Authorities - Central Bank........,4,3,3,0,0,1,228,199,130,95,0,35,69,106
Credit Intermediation and Related Activities..................................................,3,2,2,0,0,1,688,606,170,170,0,0,436,52
