row_label,col_1,col_2,col_3
"Cases closed, total",11741,100.0,SO. 4
"Before formal action, total",9890,84.2,67.7
Adjusted,5828,49.6,39.9
Withdrawn,2879,24.5,19.7
Dismissed •,1183,10.1,8.1
"After formal action, total",1851,15. S,12.7
Before hearing,119,1.0,.8
Adjusted,87,.7,.6
Withdrawn,26,.2,.2
Dismissed,6,.1,'.0
After hearing,175,1.5,1.2
Adjusted,53,.5,.4
Closed by compliance with Intermediate Report,27,.2,.2
Withdrawn,82,.7,.5
Dismissed,13,.1,.1
After Board decision,"1,2",11.1,8.9
Closed by compliance,69,.6,.5
Closed by certification,949,8.1,6.5
Withdrawn,41,. 3,. 3
Dismissed,231,2.0,1.6
Closed otherwise,8,. 1,'.0
After court action,259,2.2,1.8
Closed by compliance',247,2.1,1.7
,6 6,. 1,. 1
Dismissed,Dismissed,'.0,' . 0
