row_label,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
All cases,,,,,,
"Pending October 1, 1994",30024,16721,1199,1365,9075,1664
Received fiscal 1995,39935,21598,1025,1608,13984,1720
On docket fiscal 1995,69959,38319,2224,2973,23059,3384
Closed fiscal 1995,38038,19951,949,1514,13737,1887
"Pending September 30, 1995",31921,18368,1275,1459,9322,1497
Unfair labor practice cases,,,,,,
"Pending October 1, 1994",27192,14909,1109,1179,8566,1429
Received fiscal 1995,34040,17589,857,1251,12899,1444
On docket fiscal 1995,61232,32498,1966,2430,21465,2873
Closed fiscal 1995,31775,15686,769,1164,12597,1559
"Pending September 30, 1995",29457,16812,1197,1266,8868,1314
Representation cases,,,,,,
"Pending October 1, 1994",2533,1729,83,167,451,103
Received fiscal 1995,5465,3830,161,329,971,174
On docket fiscal 1995,7998,5559,244,496,1422,277
Closed fiscal 1995,5786,4076,169,326,1030,185
"Pending September 30, 1995",2212,1483,75,170,392,92
Union-shop deauthorization cases,,,,,,
"Pending October 1, 1994",58,0,0,0,58,0
Received fiscal 1995,114,0,0,0,114,0
On docket fiscal 1995,172,0,0,0,172,0
Closed fiscal 1995,110,0,0,0,110,0
"Pending September 30, 1995",62,0,0,0,62,0
Amendment of certification cases,,,,,,
"Pending October 1, 1994",13,7,0,4,0,2
Received fiscal 1995,31,17,2,1,0,11
On docket fiscal 1995,44,24,2,5,0,13
Closed fiscal 1995,30,19,2,1,0,8
"Pending September 30, 1995",14,5,0,4,0,5
Unit clarification cases,,,,,,
"Pending October 1, 1994",228,76,7,15,0,130
Received fiscal 1995,285,162,5,27,0,91
On docket fiscal 1995,513,238,12,42,0,221
Closed fiscal 1995,337,170,9,23,0,135
"Pending September 30, 1995",176,68,3,19,0,86
