Method and stage of disposition,All R cases / Number of cases,All R cases / Percent of cases closed,RC cases / Number of cases,RC cases / Percent of cases closed,RM cases / Number of cases,RM cases / Percent of cases closed,RD cases / Number of cases,RD cases / Percent of cases closed
Total number of cases closed,9909,100.0,8877,100.0,543,100.0,489,100.0
Consent election,3381,34.1,3193,36.0,125,23.1,63,12.9
Before notice of hearing,2088,21.1,1972,22.2,84,15.5,32,6.6
"After notice of hearing, before hearing opened",1160,11.7,1097,12.4,34,6.3,29,5.9
"After hearing opened, before Board decision",133,1.3,124,1.4,7,1.3,2,.4
Stipulated election,940,9.5,902,10.2,26,4.8,12,2.4
Before notice of hearing,456,4.6,438,4.9,12,2.2,6,1.2
"After notice of hearing, before hearing opened",404,4.1,388,4.4,11,2.0,5,1.0
"After hearing opened, before Board decision",72,.7,69,.8,2,.4,1,.2
After post-election hearing and decision,8,.1,7,.1,1,.2,0,0
Recognition,125,1.3,100,1.0,25,4.6,,
Before notice of hearing,40,.4,31,.3,9,1.6,,
"After notice of hearing, before hearing opened",80,.8,66,.7,14,2.6,,
"After hearing opened, before Board decision",5,.1,3,(1),2,.4,,
Withdrawn,2365,23.9,1982,22.3,199,36.6,184,37.7
Before notice of hearing,1253,12.6,1033,11.6,111,20.4,109,22.3
"After notice of hearing, before hearing opened",811,8.2,683,7.7,71,13.1,57,11.7
"After hearing opened, before Board decision",135,1.4,112,1.3,12,2.2,11,2.3
After Board decision and direction of election,166,1.7,154,1.7,5,.9,7,1.4
Dismissed,1134,11.3,844,9.5,127,23.4,163,33.3
Before notice of hearing,529,5.3,340,3.8,78,14.4,111,22.7
"After notice of hearing, before hearing opened",160,1.6,122,1.4,21,3.9,17,3.5
"After hearing opened, before Board decision",24,.2,16,.2,3,.5,5,1.0
By Board decision,421,4.2,366,4.1,25,4.6,30,6.1
Board-ordered election,1959,19.8,1851,20.9,41,7.5,67,13.7
Otherwise,5,.1,5,.1,0,0,0,0
