Case No.,Union and company,Date petition for injunction filed,Type of petition,Temp. restraining order — Date issued,Temp. restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
19-CC-73,"AFL-Teamsters, Local 148 (Harold Co.)","Apr 22, 1955",10 (l),,,,,,
20-CC-106,"AFL-Retail Clerks, Retail Fruit & Vegetable Workers, Local 1012 and Grocery Clerks Local 648 (Retail Fruit Dealers Assn of San Francisco)","Apr 22, 1955",10 (l),,,,,,
21-CC-195,"AFL-Roofers, Local 43 et al. (Roofing Contractors Assn of San Diego County)","Apr 25, 1955",10 (l),,,,,,
36-CC-28,"CIO-Woodworkers, Local 7-140 and Wm. Heron, Business Agent (Reece Bros. Logging Co.)","Apr 29, 1955",10 (l),,,,,,"June 10, 1955"
2-CD-99,"AFL-Engineers, Operating, Local 450 (Arundel Corp.)","Apr 29, 1955",10 (l),,,,,,
9-CC-73,"AFL-Plumbers, Local 105 (Sears, Roebuck & Co.)","May 12, 1955",10 (l),,,"May 10, 1955",,,
1-CC-116,"AFL-Hod Carriers, Local 560 and Salvatore Pavone and AFL-Teamsters, Local 379 and Nicholas Gargan, agent (Foscarus Trucking Co.)","May 17, 1955",10 (l),,,,,"June 15, 1955",
"5-CC-46, 47","AFL-Baltimore Building & Construction Trades Council, et al, (Henry Sutherby & Co. and Associated Builders & Contractors of Maryland, Inc.)","May 25, 1955",10 (l),,,,,,
2-CC-332,"AFL-Teamsters, Local 239 (Fedders-Quigan Corp.)","May 26, 1955",10 (l),,,,,,"June 23, 1955"
2-CC-329,"Newspaper & Mail Deliverers, Vicinity of New York (New York Sunday Graphic, Inc.)","May 27, 1955",10 (l),"May 27, 1955","June 9, 1955",,,,
2-CC-333,"AFL-Teamsters, Local 1035","May 31, 1955",10 (l),,,,,,
19-CC-76,"AFL-Teamsters, Local 580 (Galveston Truck Lines)",,10 (l),,,,,,
2-CC-336,"AFL-Teamsters, Local 324 (Mack's Markets)","June 1, 1955",10 (l),,,,,"June 21, 1955",
19-CC-70,"CIO-Packinghouse Workers, Local 175 (Boston Wholesale Meat Dealers Assn., Inc.)","June 4, 1955",10 (l),"June 4, 1955","June 14, 1955",,,"June 14, 1955",Withdrawn.
4-CC-58,"AFL-Electrical Workers, Local 313 (Peter F. Furness Electric Co.)","June 10, 1955",10 (l),,,,,,
