Stage of disposition,All C cases — Number of cases,All C cases — Percent of cases closed,CA cases — Number of cases,CA cases — Percent of cases closed,CB cases — Number of cases,CB cases — Percent of cases closed,CC cases — Number of cases,CC cases — Percent of cases closed,CD cases — Number of cases,CD cases — Percent of cases closed
Total number of cases closed,7289,100.0,4805,100.0,1857,100.0,479,100.0,148,100.0
Before issuance of complaint,6654,91.3,4433,92.2,1703,91.7,375,78.3,143,96.6
"After issuance of complaint, before opening of hearing",249,3.4,128,2.7,60,3.2,61,12.8,0,.0
"After hearing opened, before issuance of intermediate report",48,.7,28,.6,15,.8,5,1.0,0,.0
"After intermediate report, before issuance of Board decision",33,.4,25,.5,3,.2,5,1.0,0,.0
After Board order adopting intermediate report in absence of exceptions,25,.3,18,.4,4,.2,3,.6,0,.0
"After Board decision, before court decree",161,2.2,103,2.1,33,1.8,20,4.2,5,3.4
After Board order adopting intermediate report followed by circuit court decree,5,.1,2,.1,3,.2,0,.0,0,.0
"After circuit court decree, before Supreme Court action",98,1.3,54,1.1,34,1.8,10,2.1,0,.0
After Supreme Court action,16,.3,14,.3,3,.1,2,.4,0,.0
