row_label,col_1,col_2,col_3
Hearings completed...........................................................................,28,0,27
Decisions issued after hearing...........................................................,34,2,31
By Regional Directors..................................................................,31,2,28
By Board......................................................................................,3,0,3
Transferred by Regional Directors for initial decision............,0,0,0
Review of Regional Directors' decisions:...............................,,,
Requests for review received..............................................,13,0,12
Withdrawn before request ruled upon................................,1,0,1
"Board action on requests ruled upon, total..........................",13,0,12
Granted ........................................................................,2,0,2
Denied............................................................................,10,0,9
Remanded.......................................................................,1,0,1
"Withdrawn after request granted, before Board review......",0,0,0
"Board decision after review, total.......................................",3,0,3
Regional Directors' decisions:.......................................,,,
Affirmed....................................................................,0,0,0
Modified....................................................................,1,0,1
Reversed....................................................................,2,0,2
