row_label,col_1,col_2,col_3
earmgs completed,120,15,98
cision issued after hearing,126,15,96
By regional directors,111 15,12 3,89 7
By Board,10,3,
Transferred by regional directors for initial decision,,,3
Review of regional directors' decisions _,5,0,4
Requests for review received,13,2,11
Withdrawn before request ruled upon,1,o,1
"Board action on requests ruled upon, total",8,1,7
Granted,2,0,2
Denied,5,1,4
Remanded,1,0,1
"Wit hdrawn after request granted, before Board review_ _",0,0,0
"Board decision after review, total",5,0,4
Regional directors' decisions,5,,
Affirmed,,0,4
Modified,0,0,0
