row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1, 2004....................","*1,042",946,35,60,1,
Received fiscal 2005..........................,4014,3621,151,239,3,
On docket fiscal 2005........................,5056,4567,186,299,4,
Closed fiscal 2005..............................,3904,3548,141,212,3,
"Pending September 30, 2005..............",1152,1019,45,87,1,
,RMCases,RMCases,RMCases,RMCases,RMCases,RMCases
"Pending October 1, 2004....................",61,,,,,61
Received fiscal 2005..........................,102,,,,,102
On docket fiscal 2005........................,163,,,,,163
Closed fiscal 2005..............................,108,,,,,108
"Pending September 30, 2005..............",55,,,,,55
,RD Cases,RD Cases,RD Cases,RD Cases,RD Cases,RD Cases
"Pending October 1, 2004....................",272,1,0,0,271,
Received fiscal 2005..........................,766,3,1,1,761,
On docket fiscal 2005........................,1038,4,1,1,1032,
Closed fiscal 2005..............................,775,3,1,1,770,
"Pending September 30, 2005..............",263,1,0,0,262,
