Type of election,All R elections — Total elections,All R elections — Withdrawn or dismissed before certification,All R elections — Resulting in certification,All R elections — Resulting in rerun or runoff,RC elections — Total elections,RC elections — Withdrawn or dismissed before certification,RC elections — Resulting in certification,RC elections — Resulting in rerun or runoff,RM elections — Total elections,RM elections — Withdrawn or dismissed before certification,RM elections — Resulting in certification,RM elections — Resulting in rerun or runoff,RD elections — Total elections,RD elections — Withdrawn or dismissed before certification,RD elections — Resulting in certification,RD elections — Resulting in rerun or runoff
All types,3788,83,106,3599,3094,76,91,2927,69,1,2,66,625,6,13,606
All types — Rerun required,,,90,0,,,75,0,,,2,0,,,13,0
All types — Runoff required,,,16,0,,,16,0,,,0,0,,,0,0
Consent elections,33,0,0,33,28,0,0,28,0,0,0,0,5,0,0,5
Stipulated elections,3083,50,78,2955,2490,43,71,2376,58,1,1,56,535,6,6,523
Stipulated elections — Rerun required,,,66,0,,,59,0,,,1,0,,,6,0
Regional Director-directed,661,33,26,602,571,33,20,518,8,0,1,7,82,0,5,77
Regional Director-directed — Rerun required,,,22,0,,,13,0,,,1,0,,,5,0
Board-directed,8,0,2,6,2,0,0,2,3,0,0,3,3,0,2,1
Expedited—Sec. 8(b)(7)(C),3,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0
