Participating unions,Total elections,Percent won,Total won,Elections won by unions: AFL-CIO unions,Elections won by unions: Teamsters,Elections won by unions: Other national unions,Elections won by unions: Other local unions,Elections in which no representative chosen,Employees eligible to vote: Total,Employees eligible to vote: In elections won,Employees eligible to vote: In units won by AFL-CIO unions,Employees eligible to vote: In units won by Teamsters,Employees eligible to vote: In units won by Other national unions,Employees eligible to vote: In units won by Other local unions,Employees eligible to vote: In elections with no representative chosen
C. ELECTIONS IN RM CASES — AFL-CIO,188,41.0,77,77,,,,111,7380,3437,3437,,,,3913
Teamsters,107,43.0,46,,46,,,61,2780,1207,,1207,,,1499
Other national unions,11,36.4,4,,,4,,7,627,172,,,172,,455
Other local unions,11,36.4,4,,,,4,7,682,232,,,,232,410
1-union elections subtotal (RM),317,41.3,131,77,46,4,4,186,11097,5048,3437,1207,172,232,6049
2-union,,,,,,,,,,,,,,,
2-union elections subtotal (RM),29,72.4,21,8,6,4,4,8,1551,1217,315,42,495,364,334
AFL-CIO v. AFL-CIO v. Teamsters,1,100.0,1,1,,,,0,102,102,102,,,,0
3 (or more)-union elections subtotal (RM),1,100.0,1,1,0,0,0,0,102,102,102,,,,0
Total RM elections,347,44.1,153,86,52,8,8,194,12750,6367,3752,1361,,,
