row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"Pending October 1, 1983",".2,064",1260,471,120,209,,
Received fiscal 1984,5370,3050,1554,201,558,,
On docket fiscal 1984,7434,4310,2025,321,767,II,
Closed fiscal 1984,5389,3064,1551,218,552,,
"Pending September 30, 1984",2045,1246,474,103,215,,
,FtM cases,FtM cases,FtM cases,FtM cases,FtM cases,FtM cases,FtM cases
"Pending October 1, 1983",224,,,,,,224
Received fiscal 1984,646,,_____,,,,646
On docket fiscal 1984,870,,,,,,870
Closed fiscal 1984,651,,,,,,651
"Pending September 30, 1984",219,,,,,,219
,RD cases,RD cases,RD cases,RD cases,RD cases,RD cases,RD cases
"Pending October 1, 1983",.484,2,1,0,5,476,
Received fiscal 1984,1830,5,2,0,1,1822,
On docket fiscal 1984,2314,7,3,0,6,2298,
Closed fiscal 1984,1819,2,3,0,2,1812,
"Pending September 30, 1984",495,5,0,0,4,486,
