row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total......................................................",795,735,664,4,67,4
Initial hearing......................................................................,621,575,522,3,50,0
Hearing on objections and/or challenges............................,174,160,142,1,17,4
"Decisions issued, total............................................................",635,605,531,8,66,9
By Regional Director..........................................................,586,559,497,5,57,9
Elections directed..........................................................,472,453,412,1,40,9
Dismissals on record....................................................,114,106,85,4,17,0
By Board.......................................................................,49,46,34,3,9,0
Transferred by Regional Directors for initial decision.,1,1,1,0,0,0
Elections directed .........................................................,0,0,0,0,0,0
Dismissals on record.....................................................,1,1,1,0,0,0
Review of Regional Directors' decisions:,,,,,,
Requests for review received..................................................,291,283,233,18,32,1
Withdrawn before request ruled upon....................................,5,5,4,0,1,0
"Board action on request ruled upon, total...............................",258,249,205,16,28,1
Granted...................................................................................,58,53,41,3,9,0
Denied....................................................................................,195,191,159,13,19,1
Remanded..............................................................................,5,5,5,0,0,0
"Withdrawn after request granted, before Board review.........",1,1,1,0,0,0
"Board decision after review, total..........................................",48,45,33,3,9,0
Regional Directors' decisions:,,,,,,
Affirmed.................................................................................,32,29,21,3,5,0
Modified.................................................................................,3,3,3,0,0,0
Reversed.................................................................................,13,13,9,0,4,0
Outcome:,,,,,,
Election directed.....................................................................,36,35,31,0,4,0
Dismissals on record...............................................................,12,10,2,3,5,0
"Decisions on Objections and/or Challenges, total..................",511,488,439,2,47,14
By Regional Directors........................................................,214,191,172,0,19,9
By Board............................................................................,297,297,267,2,28,5
In stipulated elections.............................................................,261,261,234,2,25,5
No Exceptions to Regional Directors' reports........................,142,142,125,1,16,3
Exceptions to Regional Directors' reports.............................,119,119,109,1,9,2
In directed elections (after transfer by Regional Director)....,33,33,30,0,3,0
Review of Regional Directors' supplemental decisions:,,,,,,
Request for review received...................................................,33,33,25,1,7,0
Withdrawn before request ruled upon....................................,2,2,1,0,1,0
"Board action on request ruled upon, total...............................",37,31,25,0,6,0
Granted...................................................................................,7,5,4,0,1,0
Denied.....................................................................................,29,25,20,0,5,0
Remanded...............................................................................,1,1,1,0,0,0
"Withdrawn after request granted, before Board review.........",0,0,0,0,0,0
