row_label,Type of formal action taken,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case / CA,Formal actions taken by type of case / CB,Formal actions taken by type of case / CC,Formal actions taken by type of case / CD Jurisdictional disputes,Formal actions taken by type of case / CD Unfair labor practices,Formal actions taken by type of case / CE,Formal actions taken by type of case / CP,Formal actions taken by type of case / CA Combined with CB,Formal actions taken by type of case / Combined representation cases,Formal actions taken by type of case / Other C combinations
10(b) notice of hearing issued,119,98,,,,,,,,,98,,
Complaints issued,2498,1804,1377,96,122,33,,23,6,27,48,82,23
Backpay specifications issued,139,93,75,27,25,9,,,,,,3,
"Hearings completed, total",1491,1096,724,34,98,58,,3,5,11,33,60,17
Initial ULP hearings,1400,973,722,82,39,58,,3,11,5,1,30,17
Backpay hearings / Other hearings,,,,,,,,,,,,,
"Decisions by trial examiners, total",1360,956,714,49,44,33,,3,,3,11,33,13
Trial examiner,,,,,,,,,,,,,
"Decisions and orders by the Board, total",1374,1000,688,60,76,,,6,13,13,33,24,15
Board,,,,,,,,,,,,,
