row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,3795,177,47,53,1 4,17,04,194,5 1,70,1 8
By type of cases,,,,,,,,,,,
In RC cases,3289,168,51,51,16,16,05,184,56,67,20
In RMcases,50,o,,o,,o,,o,,o,
In FtD cases,456,9,20,2,04,1,02,10,22,3,07
By type of election,,,,,,,,,,,
Consent elections,16,0,,0,,0,,0,,0,
Stipulated elections .,3235,146,45,43,1 3,12,04,158,49,55,1 7
Expedited elections .,2,0,,0,,0,,0,,0,
Regional Director-directed elections,534,31,58,10,19,5,09,36,67,15,28
Board-directed elections,8,0,,0,,0,,0,,0,
