Industry,Percent of workers,Percent of valid votes
Total,84.5,87.1
Iron and steel,12.9,30.1
Transportation equipment,11.1,18.5
Textiles,10.4,8.8
Food,9.8,4.0
"Machinery, excluding electrical",8.3,10.7
Apparel,7.3,1.2
Electrical machinery,5.1,2.9
Chemicals,4.7,3.6
Printing,4.1,.7
Lumber,4.1,2.2
Furniture,3.4,2.4
"Stone, clay, and glass",3.3,2.0
