row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
South Atlantic.....................................................,3667,3123,2598,500,15,4,0,4,2,531,458,5,68,0,1,12
Iowa.........................................................................,211,153,131,19,2,1,0,0,0,52,36,1,15,0,0,6
Kansas......................................................................,192,161,123,33,2,0,0,0,3,30,21,1,8,0,0,1
Minnesota................................................................,428,291,234,49,5,0,1,0,2,125,94,0,31,3,0,9
Missouri...................................................................,921,759,530,184,27,11,2,0,5,149,102,11,36,3,1,9
North Dakota...........................................................,49,39,26,7,5,0,0,0,1,10,10,0,0,0,0,0
Nebraska..................................................................,74,53,49,4,0,0,0,0,0,19,16,1,2,0,0,2
South Dakota...........................................................,24,16,15,1,0,0,0,0,0,8,6,0,2,0,0,0
West North Central.............................................,1899,1472,1108,297,41,12,3,0,11,393,285,14,94,6,1,27
Arkansas..................................................................,200,178,137,40,0,0,0,0,1,21,17,1,3,0,0,1
Louisiana.................................................................,299,261,193,65,2,1,0,0,0,36,30,2,4,0,0,2
Oklahoma................................................................,240,196,161,35,0,0,0,0,0,43,33,2,8,1,0,0
Texas........................................................................,1166,1037,829,206,1,1,0,0,0,126,105,2,19,0,0,3
West South Central.............................................,1905,1672,1320,346,3,2,0,0,1,226,185,7,34,1,0,6
"Total, all States and areas...................................",33505,28099,21494,5836,446,166,27,35,95,5054,4113,124,817,109,17,226
