row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Colorado,6,1,1,0,o,5,170,146,57,57,0,0,89,18
New Mexico,2,o,o,o,o,2,254,245,96,96,0,0,149,o
Arizona,4,2,2,o,0,2,386,350,203,203,0,o,147,254
Utah,3,1,1,o,0,2,118,87,38,38,0,o,49,63
Nevada,4,2,2,0,0,2,847,519,310,310,0,o,209,743
Mountain,24,7,7,0,0,17,1884,1441,737,735,0,2,704,1099
Washington,26,9,9,0,o,17,1371,1230,587,587,0,o,643,926
Oregon,9,2,2,0,o,7,356,285,122,11I,0,11,163,101
California,44,14,13,0,1,30,1737,1496,763,686,o,77,733,1082
Alaska,2,2,2,0,0,0,43,36,20,20,o,o,16,43
Hawaii .,3,2,2,0,o,I,264,184,136,136,0,o,48,239
Guam,0,0,0,o,o,o,o,o,o,o,o,o,o,o
Pacific,84,29,28,o,1,55,3771,3231,1628,1540,0,88,1603,2391
Puerto Rico,0,o,0,o,o,o,o,o,o,o,o,o,o,o
Virgin Islands,1,I,I,o,o,0,69,40,30,30,o,o,10,69
Outlying Areas,I,1,1,o,o,o,69,40,30,30,0,0,10,69
"Total, all States and areas",488,143,136,1,6,345,22203,18786,8811,8032,252,527,9.975,9958
