row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Food and kindred products,177,70,38,30,0,2,107,13721,12352,5649,3857,1684,1,107,6703,5223
Tobacco manufacturers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Textile mill products,43,18,13,2,0,3,25,6474,5873,2407,2272,103,0,32,3466,1408
Apparel and other finished products made from fabnc and similar materials,29,15,9,3,0,3,14,3264,2968,1644,1068,409,0,167,1324,1923
Lumber and wood products (except furniture),96,31,24,5,1,1,65,5714,5192,2128,1771,290,17,50,3064,1458
Furniture and fixtures,58,24,17,7,0,0,34,4269,3811,1825,1623,194,8,0,1986,1467
Paper and allied products,61,25,21,4,0,0,36,4476,4117,1909,1306,261,133,209,2208,1717
"Printing, publishing, and allied products",124,51,29,7,0,15,73,4965,4462,2043,1020,548,8,4-67,2419,1934
Chemicals and allied products,81,29,16,11,1,1,52,4313,3839,1622,1218,281,22,101 0,"2,217 558",1311
Petroleum refining and related industries,19,9,6,2,I,0,10,1085,997,439,386,42,11,,4025,241
Rubber and miscellaneous plastic products,75,19,12,6,0,1,56,7593,6826,2801,2337,364,0,100,,1388
"Leather and leather products Stone, clay, glass, and concrete products",11 71,6,5 18,0,0,1,5,2071,1837,1041,840,0,0 19,201 22,"796 2,072",1499
,,33,,11,1,3,38,3979,3592,1520,1260,219,,,,1411
Primary metal industries,III,45,31,11,2,1,66,6572,5855,2447,1889,382,64,112,3408,2138
portation equipment),168 188,55 74,43,10,1,1,113,12109,11214,4813,3473,819,272 138,249,"6,401 6,730","2,954 4,575"
"Machinery (except electrical) Electrical and electronic machinery, equipment, and sup-",,,54,15,1,4,114,13478,12345,5615,4091,896,,490,,1714
plies parts,81,27,20,3,1,3,54,8787,7808,3195,2405,449,243,98,4613,
Aircraft and,105,42,35,4,0,3,63,10679,9557,4277,3874,229,6,168,5280,2453
Ship and boat building and repairing,15,6,4,0,0,2,9,1785,1661,708,622,29,13,44,953,641
Automotive and other transportation equipment,11,2,2,0,0,0,9,1791,1666,457,266,191,. 0,0,1209,15
"Measuring, analyzing, and controlling Instruments, photo- graphic, medical, and optical goods, watches and clocks Miscellaneous manufactunng industries",26 178,12 69,9 34,2 22,1 1,0 12,14 109,"1,681 9,269","1,493 8,275","707 3,932","454 2,401",143 782,27 32,83 717,"786 4,343","432 3,920"
Manufacturing,1728,662,440,155,II,56,1066,128075,115740,51179,38433,8315,1014,3417,64561,39822
Metal mining,4,0 6,0 0,0 1,0,0,4,"782 1,228",741,131,131,0 15,0,0 16,610 709,0 444
Coal mining Dil and gas extraction,17 8,3,1,2,5 0,0 0,11 5,681,"1,148 601",439 499,7 227,272,401 0,0,102,565
