Method and stage of disposition,Number of cases,Percent of total closed
Total number of cases closed before issuance of complaint,598,100.0
Agreement of the parties -- informal settlement,266,44.5
Before 10(k) notice,235,39.3
"After 10(k) notice, before opening of 10(k) hearing",31,5.2
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",0,
Compliance with Board decision and determination of dispute,44,7.4
Withdrawal,211,35.2
Before 10(k) notice,192,32.1
"After 10(k) notice, before opening of 10(k) hearing",11,1.8
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",0,
After Board decision and determination of dispute,8,1.3
Dismissal,77,12.9
Before 10(k) notice,66,11.0
"After 10(k) notice, before opening of 10(k) hearing",1,0.2
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",0,
By Board decision and determination of dispute,10,1.7
